id,adres_id,nazwa,imie,nazwisko,nip
65,65,,Czesław,Eile,
66,66,Medard Zawiślański z o.o.,Medard,Zawiślański,9631113994
67,67,,Euzebiusz,Gutkowski,
68,68,Szymon Ciałowicz z o.o.,Szymon,Ciałowicz,2182811805
69,69,Herman Dołęga-Otocki z o.o.,Herman,Dołęga-Otocki,2680043396
70,70,,Aleksander,Stępiński,
71,71,,Edward,Śpiewak,
72,72,,Michał,Schramm,
73,73,,Feliks,Tessaro,
74,74,,Apolinary,Jakubowski,
75,75,,Emilian,Krudowski,
76,76,,Tadeusz,Nowak,
77,77,Tytus Bunsch z o.o.,Tytus,Bunsch,3550544195
78,78,August Berg z o.o.,August,Berg,8743153717
79,79,Łucjan Szepieniec z o.o.,Łucjan,Szepieniec,7156102341
80,80,Tomasz Zawadowski z o.o.,Tomasz,Zawadowski,6856246431
81,81,,Rudolf,Chrościcki,
82,82,,Hipolit,Sadowski,
83,83,Ryszard Kielar z o.o.,Ryszard,Kielar,8709502264
84,84,Hipolit Rusiecki z o.o.,Hipolit,Rusiecki,4169781421
85,85,Maksymilian Kaczkowski z o.o.,Maksymilian,Kaczkowski,5510805750
86,86,,Anastazy,Kojder,
87,87,Osman Zienkiewicz z o.o.,Osman,Zienkiewicz,7424675248
88,88,,Bronisław,Bielowicz,
89,89,,Wojciech,Mokrzycki,
90,90,,Modest,Bocheński,
91,91,,Zygmunt,Ulatowski,
92,92,,Witold,Bazarnik,
93,93,,Narcyz,Kalinowski,
94,94,Erwin Profic z o.o.,Erwin,Profic,1736420438
95,95,Wojciech Zaniewski z o.o.,Wojciech,Zaniewski,4246653824
96,96,Konstanty Gross z o.o.,Konstanty,Gross,6650416352
97,97,,Andrzej,Hinterhoff,
98,98,,Leonard,Kalkus,
99,99,,Bertold,Schnür-Pepłowski,
100,100,Julian Bazarnik z o.o.,Julian,Bazarnik,4128917723
101,101,Walerian Szczypa z o.o.,Walerian,Szczypa,5965450438
102,102,Ignacy Unrug z o.o.,Ignacy,Unrug,5460600403
103,103,,Otton,Segda,
104,104,Bazyli Skłodowski z o.o.,Bazyli,Skłodowski,1775541392
105,105,,Justyn,Dzierżykraj-Morawski,
106,106,,Emil,Adam,
107,107,Bazyli Galiński z o.o.,Bazyli,Galiński,4852627444
108,108,,Emil,Jacyna,
109,109,,Zygmunt,Jampolski,
110,110,,Walerian,Kaseja,
111,111,,Kanty,Dembowski,
112,112,Teodor Gano z o.o.,Teodor,Gano,6221353679
113,113,,Marceli,Dołęga-Mostowicz,
114,114,Artur Bończa-Tomaszewski z o.o.,Artur,Bończa-Tomaszewski,7671676704
115,115,Hugo Kostecki z o.o.,Hugo,Kostecki,9848517626
116,116,,Bolesław,Socha,
117,117,,Leopold,Cwenarski,
118,118,Bazyli Brzezowski z o.o.,Bazyli,Brzezowski,7866038416
119,119,,Bruno,Stempkowski,
120,120,,Iwo,Nazarewicz,
121,121,,Jędrzej,Cieński,
122,122,,Benedykt,Bałaban,
123,123,,Edmund,Profic,
124,124,,Juliusz,Borkiewicz,
125,125,Rudolf Lichtarowicz z o.o.,Rudolf,Lichtarowicz,7712441678
126,126,,Olgierd,Dobrzański,
127,127,Karol Szymański z o.o.,Karol,Szymański,3638269174
128,128,Leon Solski z o.o.,Leon,Solski,4957650330
129,129,Ksawery Budkiewicz z o.o.,Ksawery,Budkiewicz,6395723165
130,130,,Medard,Albrycht,
131,131,,Bruno,Baraniecki,
132,132,,Fryderyk,Ulatowski,
133,133,Alfons Glabisz z o.o.,Alfons,Glabisz,5031012012
134,134,,Sylwester,Liniarski,
135,135,Hieronim Doczkał z o.o.,Hieronim,Doczkał,1131895194
136,136,,Stanisław,Butler,
137,137,,Dobiesław,Oskierka-Kramarczyk,
138,138,,Feliks,Ruśkiewicz,
139,139,,Bolesław,Szacki,
140,140,Modest Kunicki z o.o.,Modest,Kunicki,1890759736
141,141,,Teodor,Czyżewicz,
142,142,,Felicjan,Voit,
143,143,Jędrzej Nizieński z o.o.,Jędrzej,Nizieński,8676586838
144,144,,Czesław,Banaszewski,
145,145,,Bronisław,Tupaj-Isertingen,
146,146,Jan Kister z o.o.,Jan,Kister,9701831786
147,147,Włodzimierz Dworak z o.o.,Włodzimierz,Dworak,2027448373
148,148,Łucjan Namysł z o.o.,Łucjan,Namysł,6225876224
149,149,Karol Piltz z o.o.,Karol,Piltz,6883904412
150,150,Sergiusz Świątecki z o.o.,Sergiusz,Świątecki,2225285905
151,151,,Edmund,Kubiński,
152,152,,Henryk,Buchta,
153,153,,Feliks,Pachucki,
154,154,,Olgierd,Dzierżykraj-Morawski,
155,155,,Ludwik,Szylling,
156,156,,Erazm,Orłowski,
157,157,,Edward,Solski,
158,158,Erazm Polakowski z o.o.,Erazm,Polakowski,5154842631
159,159,,Karol,Landau,
160,160,,Fryderyk,Spitzbarth,
161,161,Hugo Barczyk z o.o.,Hugo,Barczyk,9557291953
162,162,,Lech,Tkaczow,
163,163,,Heliodor,Pęczkowski,
164,164,Alojzy Bukowiecki z o.o.,Alojzy,Bukowiecki,7657870639
165,165,Emilian Eile z o.o.,Emilian,Eile,8798037712
166,166,,Czesław,Krawecki,
167,167,,Lech,Achmatowicz,
168,168,Stanisław Dworak z o.o.,Stanisław,Dworak,5232973646
169,169,,Iwo,Arciszewski,
170,170,,Heliodor,Szczepanowski,
171,171,,Władysław,Rayski,
172,172,,Ignacy,Lachowicz,
173,173,Ksawery Fuchs z o.o.,Ksawery,Fuchs,4579052621
174,174,,Leonard,Piskorski,
175,175,Modest Sznuk z o.o.,Modest,Sznuk,6629168326
176,176,Apolinary Wollen z o.o.,Apolinary,Wollen,8782277377
177,177,Olgierd Meyer z o.o.,Olgierd,Meyer,3495527601
178,178,,Melchior,Fischer-Drauenegg,
179,179,,Sergiusz,Scazighino,
180,180,,Czesław,Kolmer,
181,181,,Tomasz,Getter,
182,182,Teodor Lepszy z o.o.,Teodor,Lepszy,3701736928
183,183,,Karol,Rybak,
184,184,Ottokar Morawski z o.o.,Ottokar,Morawski,1947470089
185,185,,Kornel,Terlecki,
186,186,,Osman,Banaszewski,
187,187,Stefan Kucza z o.o.,Stefan,Kucza,5124083188
188,188,Eugeniusz Jegliński z o.o.,Eugeniusz,Jegliński,9555155850
189,189,,Emilian,Seib,
190,190,,Paweł,Sołtan,
191,191,,Wojciech,Albrycht,
192,192,,Kornel,Meraviglia-Crivelli,
193,193,,Erwin,Rybotycki,
194,194,,Teofil,Świtalskis,
195,195,,Kazimierz,Tippe,
196,196,Paweł Borkiewicz z o.o.,Paweł,Borkiewicz,4233969566
197,197,Teofil Ruśkiewicz z o.o.,Teofil,Ruśkiewicz,8001626250
198,198,,Sergiusz,Kiełbasiński,
199,199,Kanty Gawędzki z o.o.,Kanty,Gawędzki,7373335432
200,200,Leonard Mokrzycki z o.o.,Leonard,Mokrzycki,7217335496
201,201,,Ryszard,Ciechanowski,
202,202,Apolinary Trapszo z o.o.,Apolinary,Trapszo,6310747279
203,203,,Teofil,Boroń,
204,204,,Mieczysław,Andrzejewski,
205,205,Lucjan Szablewski z o.o.,Lucjan,Szablewski,9382248861
206,206,Emil Lewiński z o.o.,Emil,Lewiński,3319436989
207,207,,Otton,Wyrwiński,
208,208,,Wilhelm,Krzyczkowski,
209,209,Korneliusz Brzezowski z o.o.,Korneliusz,Brzezowski,7645931366
210,210,,Ryszard,Bielejec,
211,211,,Wilhelm,Baraniecki,
212,212,Mieczysław Wojtyniak z o.o.,Mieczysław,Wojtyniak,6583046752
213,213,,Zbigniew,Chmielewski,
214,214,Stefan Juszczacki z o.o.,Stefan,Juszczacki,8564308368
215,215,,Emil,Koziński,
216,216,,Jędrzej,Bisztyga,
217,217,Marceli Hałaciński z o.o.,Marceli,Hałaciński,6723840438
218,218,Aleksander Messinger z o.o.,Aleksander,Messinger,2092586120
219,219,Jędrzej Buszyński z o.o.,Jędrzej,Buszyński,7616430649
220,220,Teofil Narbutt-Łuczyński z o.o.,Teofil,Narbutt-Łuczyński,5274169982
221,221,,Erwin,Karśnicki,
222,222,,Narcyz,Szydłowski,
223,223,Zygfryd Demkowski z o.o.,Zygfryd,Demkowski,7127558331
224,224,Zdzisław Babiański z o.o.,Zdzisław,Babiański,6025435769
225,225,,Olgierd,Sadowski,
226,226,,Fuad,Brayczewski,
227,227,Lesław Spychalski z o.o.,Lesław,Spychalski,4498594071
228,228,,Rudolf,Gadomski,
229,229,,Rafał,Kraupa,
230,230,,Olgierd,Kretowicz,
231,231,,Heliodor,Waśkiewicz,
232,232,,Roman,Szczerba-Likiernik,
233,233,Marian Beranek z o.o.,Marian,Beranek,2071179188
234,234,Tomasz Bolesławski z o.o.,Tomasz,Bolesławski,6803696093
235,235,,Leszek,Mikke,
236,236,,Sylwester,Moraczewski,
237,237,Zenon Młodzianowski z o.o.,Zenon,Młodzianowski,2583236602
238,238,,Xawery,Skulski,
239,239,,Czesław,Serednicki,
240,240,,Tadeusz,Koziełło,
241,241,,Lech,Wołowski,
242,242,,Henryk,Brachaczek,
243,243,,Teodor,Angerman,
244,244,Andrzej Felsztyn z o.o.,Andrzej,Felsztyn,7131317802
245,245,Narcyz Barwiołek z o.o.,Narcyz,Barwiołek,7278558538
246,246,,Łucjan,Podracki,
247,247,,Alojzy,Szczepanowski,
248,248,,Jan,Jaxa-Rożen,
249,249,,Wojciech,Bałłaban,
250,250,,Michał,Krzyczkowski,
251,251,,Romuald,Leszczyński,
252,252,,Bernard,Kurka,
253,253,,Stefan,Cząstka,
254,254,,Chrystian,Marszewski,
255,255,,Teodor,Zbyszewski,
256,256,,Adam,Nałęcz-Nieniewski,
257,257,,Szczęsny,Lichtarowicz,
258,258,Walery Pajewski z o.o.,Walery,Pajewski,1234633426
259,259,,Zygfryd,Mijakowski,
260,260,,Andrzej,Dubiel,
261,261,Walery Benbenek z o.o.,Walery,Benbenek,7759579712
262,262,,Bertold,Atlas,
263,263,,Eugeniusz,Dziadosz,
264,264,Lesław Bałłaban z o.o.,Lesław,Bałłaban,2310418724
265,265,Zdzisław Cehak z o.o.,Zdzisław,Cehak,1320987078
266,266,,Anastazy,Fogel,
267,267,Hugo Luśniak z o.o.,Hugo,Luśniak,3013567223
268,268,,Erwin,Szydłowski,
269,269,,Henryk,Dębowski,
270,270,,Euzebiusz,Bańkowski,
271,271,Jarosław Maskowicz z o.o.,Jarosław,Maskowicz,5751518441
272,272,,Janusz,Cycoń,
273,273,,Czesław,Nawrocki,
274,274,,Andrzej,Lawicz-Liszka,
275,275,,Władysław,Bryk,
276,276,,Iwo,Lamers,
277,277,Ludwik Krzywiec z o.o.,Ludwik,Krzywiec,5136543668
278,278,Hugo Majewski z o.o.,Hugo,Majewski,1748178869
279,279,Tytus Winicki z o.o.,Tytus,Winicki,9465816437
280,280,,Euzebiusz,Władyka,
281,281,,Ksawery,Cibicki,
282,282,,Zenon,Fyda,
283,283,,Kornel,Orawiec,
284,284,,Romuald,Szempliński,
285,285,,Iwo,Cząstka,
286,286,Marceli Leukos-Kowalski z o.o.,Marceli,Leukos-Kowalski,4274346714
287,287,,Walerian,Szklarek,
288,288,,Feliks,Chełmecki,
289,289,Maksymilian Maskowicz z o.o.,Maksymilian,Maskowicz,7331752224
290,290,,Edward,Wrażej,
291,291,,Kanty,Stępkowski,
292,292,,Franciszek,Bartczak,
293,293,Feliks Sitko z o.o.,Feliks,Sitko,4809046727
294,294,Fryderyk Ekkert z o.o.,Fryderyk,Ekkert,4927967872
295,295,,Erazm,Loth,
296,296,Bohdan Kosianowski z o.o.,Bohdan,Kosianowski,4578072232
297,297,,Alojzy,Dąbrowski,
298,298,Zygmunt Krywko z o.o.,Zygmunt,Krywko,5660452449
299,299,Bronisław Piniecki z o.o.,Bronisław,Piniecki,2142625815
300,300,,Jarosław,Stankiewicz,
301,301,,Emanuel,Serednicki,
302,302,Hieronim Bauerfeind z o.o.,Hieronim,Bauerfeind,1462037616
303,303,,Ernest,Mrowec,
304,304,,Ksawery,Chojnowski,
305,305,,Bohdan,Ryl,
306,306,,Emanuel,Drwota,
307,307,,Apolinary,Biegański,
308,308,Piotr Pikulski z o.o.,Piotr,Pikulski,1921247267
309,309,,Ignacy,Angerman,
310,310,,Stanisław,Biskupski,
311,311,Maria Sadowski z o.o.,Maria,Sadowski,1299417128
312,312,,Gerard,Ginsbert,
313,313,,Otton,Bartsch,
314,314,,Walerian,Machowski,
315,315,Julian Kolmer z o.o.,Julian,Kolmer,7058712240
316,316,,Wilhelm,Szablewski,
317,317,,Franciszek,Orłoś,
318,318,,Jakub,Prus-Więckowski,
319,319,,Walery,Makowski,
320,320,,Ignacy,Kuszelewski,
321,321,,Tomasz,Sosnkowski,
322,322,,Witold,Krautwald de Annau,
323,323,,Ottokar,Danilewicz,
324,324,,Kornel,Kobyrski,
325,325,August Zboiński z o.o.,August,Zboiński,3135670029
326,326,,Lesław,Scazighino,
327,327,,Chrystian,Quirini,
328,328,Gabriel Filipowicz z o.o.,Gabriel,Filipowicz,7355144092
329,329,,Ignacy,Ślączka,
330,330,Tytus Barcikowski z o.o.,Tytus,Barcikowski,4470053826
331,331,Bazyli Suzin z o.o.,Bazyli,Suzin,2759014227
332,332,,Czesław,Wilczak,
333,333,,Ryszard,Smólski,
334,334,,Ferdynand,Rudziński,
335,335,Mikołaj Ekkert z o.o.,Mikołaj,Ekkert,1070176432
336,336,,Hipolit,Orlicz-Dreszer,
337,337,,Stanisław,Podgurski,
338,338,,Teodor,Krudowski,
339,339,,Erwin,Kułakowski,
340,340,,Osman,Senkowski,
341,341,,Maria,Algajer,
342,342,Zbigniew Wysłouch z o.o.,Zbigniew,Wysłouch,8010033420
343,343,,Janusz,Floryanowicz,
344,344,Maria Cięciel z o.o.,Maria,Cięciel,6862868397
345,345,,Jakub,Laliczyński,
346,346,Gustaw Tarabanowicz z o.o.,Gustaw,Tarabanowicz,3050895302
347,347,,Apolinary,Nakoniecznikoff-Klukowski,
348,348,Zygmunt Tabisz z o.o.,Zygmunt,Tabisz,8701535960
349,349,Wojciech Brzeszczyński z o.o.,Wojciech,Brzeszczyński,6613133631
350,350,,Szczęsny,Białokoziewicz,
351,351,Artur Bujalski z o.o.,Artur,Bujalski,2768092455
352,352,Dobiesław Petrażycki z o.o.,Dobiesław,Petrażycki,2763079329
353,353,,Romuald,Śpiewak,
354,354,Bruno Wiloch z o.o.,Bruno,Wiloch,3605977335
355,355,,Marek,Nekanda-Trepka,
356,356,Kornel Pacześniak z o.o.,Kornel,Pacześniak,8114157869
357,357,,Leszek,Duch,
358,358,,Szymon,Widacki,
359,359,,Walery,Bularski,
360,360,August Berezowski z o.o.,August,Berezowski,1239400307
361,361,,Kanty,Arczyński,
362,362,,Antoni,Szarski,
363,363,,Czesław,Spława-Neyman,
364,364,,Bolesław,Buczek,
365,365,,Zygfryd,Bańkowski,
366,366,,Kanty,Jankowski,
367,367,Marcin Achmatowicz z o.o.,Marcin,Achmatowicz,2721612097
368,368,,Czesław,Piniecki,
369,369,,Leonard,Świerczyński,
370,370,,Teodor,Maresz,
371,371,,Emil,Jasiński,
372,372,,Gabriel,Wroczyński,
373,373,Xawery Czerwiński z o.o.,Xawery,Czerwiński,8034823740
374,374,Erwin Wołowski z o.o.,Erwin,Wołowski,1791164771
375,375,,Maria,Kierkowski,
376,376,,Stefan,Kasztelan,
377,377,,Rajmund,Kaczyński,
378,378,Anastazy Galos z o.o.,Anastazy,Galos,7305900284
379,379,,Wacław,Atlas,
380,380,,Olgierd,Drotlew,
381,381,Rafał Pasternak z o.o.,Rafał,Pasternak,7201974132
382,382,,Alfred,Sulimirski,
383,383,Wojciech Biestek z o.o.,Wojciech,Biestek,6378052410
384,384,Mieczysław Bielejec z o.o.,Mieczysław,Bielejec,8788929212
385,385,Wilhelm Prus-Więckowski z o.o.,Wilhelm,Prus-Więckowski,7896687563
386,386,,Alfons,Kierkowski,
387,387,,Justyn,Szeptycki,
388,388,,Walery,Krawecki,
389,389,Emil Doczkał z o.o.,Emil,Doczkał,6574107772
390,390,,Olgierd,Kayzer,
391,391,Wilhelm Gąsiorowski z o.o.,Wilhelm,Gąsiorowski,5391670939
392,392,,Ludomił,Nisiewicz-Dobrzański,
393,393,Jerzy Matuszek z o.o.,Jerzy,Matuszek,8413222189
394,394,,Erwin,Bałłaban,
395,395,Rajmund Picheta z o.o.,Rajmund,Picheta,5384493110
396,396,,Alfred,Hickiewicz,
397,397,,Hipolit,Cetnerowski,
398,398,Konrad Papara z o.o.,Konrad,Papara,1012437911
399,399,Tomasz Korwin-Kossakowski z o.o.,Tomasz,Korwin-Kossakowski,6719921833
400,400,,Norbert,Petri,
401,401,Włodzimierz Budkiewicz z o.o.,Włodzimierz,Budkiewicz,8472519394
402,402,,Leszek,Pyz,
403,403,Marcin Trepto z o.o.,Marcin,Trepto,5334456356
404,404,Bazyli Strzelczyk z o.o.,Bazyli,Strzelczyk,5169655839
405,405,,Tomasz,Bolesławicz,
406,406,,Karol,Nowakowski,
407,407,,Juliusz,Andrusiewicz,
408,408,,Gustaw,Drozdowski,
409,409,Teofil Lechnicki z o.o.,Teofil,Lechnicki,5172713579
410,410,,Erazm,Liebich,
411,411,,Gerard,Kister,
412,412,Bronisław Koziełło z o.o.,Bronisław,Koziełło,6877971524
413,413,Włodzimierz Leśniak z o.o.,Włodzimierz,Leśniak,8239881343
414,414,,Erazm,Adam,
415,415,,Lech,Jampolski,
416,416,,Ferdynand,Endel-Ragis,
417,417,,Ignacy,Cypryszewski,
418,418,,Jan,Błędzki,
419,419,,Leszek,Szlaszewski,
420,420,,Kazimierz,Wojtyniak,
421,421,,Roman,Beck,
422,422,Bruno Jachieć z o.o.,Bruno,Jachieć,5216694910
423,423,Artur Wysłouch z o.o.,Artur,Wysłouch,3758677381
424,424,Euzebiusz Skulski z o.o.,Euzebiusz,Skulski,4450271081
425,425,,Andrzej,Spława-Neyman,
426,426,Marian Kurek z o.o.,Marian,Kurek,5682259847
427,427,,Tadeusz,Kitlas,
428,428,,Juliusz,Kojder,
429,429,Zenon Zemanek z o.o.,Zenon,Zemanek,8779337006
430,430,Andrzej Schramm z o.o.,Andrzej,Schramm,4454836056
431,431,Kornel Gorczyca z o.o.,Kornel,Gorczyca,3892393753
432,432,,Bronisław,Rożniecki,
433,433,,Rajmund,Łomnicki,
434,434,Bohdan Chełmoński z o.o.,Bohdan,Chełmoński,3105720481
435,435,,Leopold,Płatek,
436,436,Apolinary Pacześniak z o.o.,Apolinary,Pacześniak,6260431856
437,437,Medard Schmidt z o.o.,Medard,Schmidt,3248005093
438,438,,Aleksander,Winicki,
439,439,Michał Nowakowski z o.o.,Michał,Nowakowski,8451141478
440,440,,Bazyli,Węgrzyn,
441,441,,Benedykt,Porwit,
442,442,,Gabriel,Pająk,
443,443,Ryszard Jankowski z o.o.,Ryszard,Jankowski,6080832117
444,444,,Wiktor,Gryczman,
445,445,Zbigniew Stefanicki z o.o.,Zbigniew,Stefanicki,5441750832
446,446,,Justyn,Zończyk-Bohusz,
447,447,,Teofil,Hauser,
448,448,,Korneliusz,Budkiewicz,
449,449,August Polityński z o.o.,August,Polityński,8247676894
450,450,,Wojciech,Skibiński,
451,451,,Alojzy,Plisowski,
452,452,Bolesław Orlewicz z o.o.,Bolesław,Orlewicz,6823329859
453,453,Czesław Rola-Żymierski z o.o.,Czesław,Rola-Żymierski,6678585368
454,454,Romuald Bisztyga z o.o.,Romuald,Bisztyga,3452696796
455,455,Herman Biernat z o.o.,Herman,Biernat,3582251230
456,456,,Bernard,Majewski,
457,457,,Benedykt,Ekert,
458,458,,Edward,Bietkowski,
459,459,Emanuel Śpiewak z o.o.,Emanuel,Śpiewak,6582071112
460,460,Emilian Cieśla z o.o.,Emilian,Cieśla,9720832322
461,461,Edward Langrod z o.o.,Edward,Langrod,6977400481
462,462,,Albert,Chosłowski,
463,463,,Teofil,Brochwicz-Lewiński,
464,464,Gwidon Iwanowski z o.o.,Gwidon,Iwanowski,9260831053
465,465,,Michał,Łagiewski,
466,466,Wilhelm Abratowski z o.o.,Wilhelm,Abratowski,4279424133
467,467,,Erwin,Bończa-Tomaszewski,
468,468,Cezary Wysłouch z o.o.,Cezary,Wysłouch,5688610437
469,469,,Zenon,Frydrych,
470,470,,Euzebiusz,Murdza,
471,471,,Alfred,Okulicz-Kozaryn,
472,472,,Henryk,Bielec,
473,473,Leon Sitek z o.o.,Leon,Sitek,5086377150
474,474,Kazimierz Nowakowski z o.o.,Kazimierz,Nowakowski,8484717626
475,475,Bruno Frączek z o.o.,Bruno,Frączek,9485093164
476,476,Justyn Bierowski z o.o.,Justyn,Bierowski,9642686359
477,477,,Wacław,Topór-Wąsowski,
478,478,,Zenon,Orłowski,
479,479,Anastazy Święcicki z o.o.,Anastazy,Święcicki,9802248012
480,480,,Wilhelm,Barwiołek,
481,481,,Ksawery,Prochownik,
482,482,Jarosław Czyż z o.o.,Jarosław,Czyż,7649819516
483,483,,Witold,Rusiecki,
484,484,,Bertold,Kaseja,
485,485,,Emanuel,Starzecki,
486,486,,Witold,Świtalski,
487,487,Bertold Roykiewicz z o.o.,Bertold,Roykiewicz,2604795013
488,488,,Felicjan,Łopatto,
489,489,,Rajmund,Cypryszewski,
490,490,,Tomasz,Korwin-Kossakowski,
491,491,Fuad Chrościcki z o.o.,Fuad,Chrościcki,4338400964
492,492,,Ludwik,Cehak,
493,493,,Rudolf,Podgurski,
494,494,,Zdzisław,Bałaszeskul,
495,495,,Kornel,Świerczyński,
496,496,,Fuad,Porwit,
497,497,Rudolf Świdziński z o.o.,Rudolf,Świdziński,6438786575
498,498,,Bertold,Kustroń,
499,499,Karol Drozd-Gierymski z o.o.,Karol,Drozd-Gierymski,1771196662
500,500,Michał Durski-Trzaska z o.o.,Michał,Durski-Trzaska,5467411062
501,501,,Korneliusz,Laudyn,
502,502,,Paweł,Cycoń,
503,503,,Janusz,Segda,
504,504,,Leon,Schaitter,
505,505,,Medard,Jasiński,
506,506,,Norbert,Szklarek,
507,507,,Adolf,Słabicki,
508,508,,Medard,Bac,
509,509,,Lech,Stępiński,
510,510,,Iwo,Brzezowski,
511,511,,Benedykt,Dadlez,
512,512,Bazyli Preisner z o.o.,Bazyli,Preisner,2327850273
513,513,Tytus Dańkowski z o.o.,Tytus,Dańkowski,9455262048
514,514,Jerzy Kurnatowski z o.o.,Jerzy,Kurnatowski,5696477401
515,515,,Marcin,Drozd-Gierymski,
516,516,,Walerian,Skrzywanek,
517,517,Cezary Głogowski z o.o.,Cezary,Głogowski,6689738391
518,518,,Szymon,Bauerfeind,
519,519,,Otton,Bukowiecki,
520,520,Gustaw Korab-Janiewicz z o.o.,Gustaw,Korab-Janiewicz,5823413115
521,521,,Leonard,Ginalski,
522,522,,Marian,Mickiewicz,
523,523,Franciszek Borkiewicz z o.o.,Franciszek,Borkiewicz,1375169241
524,524,,Emilian,Świdziński,
525,525,,Norbert,Białek,
526,526,Alfons Sanojca z o.o.,Alfons,Sanojca,4373611659
527,527,Lesław Wolnowski z o.o.,Lesław,Wolnowski,7412409987
528,528,,Leopold,Bogaczewicz,
529,529,Zygfryd Banaszewski z o.o.,Zygfryd,Banaszewski,1960906317
530,530,,Lech,Alter,
531,531,,Brunon,Spława-Neyman,
532,532,Karol Lenczowski z o.o.,Karol,Lenczowski,1912827792
533,533,Lesław Brochwicz-Lewiński z o.o.,Lesław,Brochwicz-Lewiński,9027044958
534,534,,August,Bietkowski,
535,535,,Lech,Szenajch,
536,536,Tomasz Biernat z o.o.,Tomasz,Biernat,3894821173
537,537,,Emil,Winicki,
538,538,,Kanty,Bernatowicz,
539,539,,Korneliusz,Zahaczewski,
540,540,,Brunon,Kurek,
541,541,,Euzebiusz,Pileski,
542,542,Piotr Wilczyński z o.o.,Piotr,Wilczyński,2489381243
543,543,Leon Stempniewicz z o.o.,Leon,Stempniewicz,5761985824
544,544,Erwin Węglowski z o.o.,Erwin,Węglowski,8964583193
545,545,,Aleksander,Blew,
546,546,,Józef,Ciałowicz,
547,547,Henryk Józefczyk z o.o.,Henryk,Józefczyk,3630857259
548,548,Piotr Misiurewicz z o.o.,Piotr,Misiurewicz,9686858409
549,549,,Bertold,Wrześniowski,
550,550,Juliusz Biesiekierski z o.o.,Juliusz,Biesiekierski,6638629399
551,551,Olgierd Ratułowski z o.o.,Olgierd,Ratułowski,6617534447
552,552,,Roman,Urban,
