ID,MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU,NR_LOKALU
198,Baliki,36-798,Torfowa,9,
199,Bagdad,56-741,Sloneczna,931,7
200,Kupientyn,74-380,Wichrowa,815,
201,Antolka,89-691,Strumykowa,439,15
202,Antonowo,55-118,Czeresniowa,247,
203,Antoniów,80-369,Slupska,639,
204,Adaminowo,71-866,Alabastrowa,571,
205,Barce,14-544,Swiatowida,284,71
206,Lubczyno,99-473,Pogodna,792,10
207,Bakaniuk,74-367,Paproci,630,
208,Krzesimowo,12-350,Promowa,358,
209,Bajtkowo,49-426,Cisowa,421,24
210,Barak,20-137,Szmaragdowa,409,
211,Balewko,12-848,Polnocna,169,28
212,Krzepczów,87-857,Wypoczynkowa,628,
213,Lubian,53-979,Jezynowa,212,
214,Antoninek,64-114,Malinowa,882,
215,Laskowizna,16-729,Spacerowa,772,49
216,Bacze,44-486,Torfowa,71,
217,Lubatówka,44-474,Tychowska,386,
218,Barchlin,36-720,Palmowa,883,
219,Lasek,74-873,Sadowa,23,24
220,Laskowa,62-776,Szafranowa,709,
221,Krakówek,39-778,Pszeniczna,208,
222,Abisynia,21-380,Tradycji,977,0
223,Bachus,55-207,Plowce,48,
224,Adamin,86-995,Limbowa,946,
225,Kraplewo,43-539,Parkowa,678,
226,Baniewice,23-824,Kasztanowa,209,
227,Leszczyny,47-482,Strusia,232,62
228,Adamczowice,46-833,Akacjowa,215,
229,Bandysie,15-764,Macierzy,79,
230,Rogielkajmy,12-931,Tradycji,143,53
231,Grabek,44-743,Jabloniowa,739,
232,Ladeniska,14-943,Truskawkowa,990,
233,Leszczyniec,50-680,Ziemowita,49,44
234,Kupientyn,69-598,Wiklinowa,909,24
235,Lady,54-903,Krotka,215,7
236,Leszczyny,12-905,Gajowa,940,
237,Lubawa,77-261,Klonowa,21,40
238,Krzepocin,51-579,Niepodleglosci,869,6
239,Grabianowo,60-201,Wiatrow,893,92
240,Antonowo,92-871,Boczna,921,
241,Laskownica,91-957,Krawiecka,270,23
242,Baldwinowice,56-510,Malinowa,799,75
243,Baranówko,22-214,Jagodowa,793,2
244,Bachorze,56-338,Wiatrow,672,
245,Leszczyniec,67-360,Stoczniowcow,402,79
246,Banica,59-511,Zyzna,809,
247,Gorzyczki,78-444,Wodnika,396,82
248,Kramarka,29-939,Nagietkow,329,87
249,Laseczno,19-915,Polna,496,
250,Rogieniczki,22-876,Polna,808,0
251,Bañki,58-213,Polna,16,
252,Kupientyn,37-519,Promowa,707,
253,Rogieniczki,36-316,Stokrotek,9,
254,Godziszka,14-119,Rzeczna,747,
255,Bajtkowo,44-861,Wrzosow,396,
256,Antolin,72-421,Leszczynowa,466,73
257,Barchów,87-317,Szafranowa,466,75
258,Balbinów,13-566,Rybacka,411,
259,Baczyn,58-363,Krawiecka,686,
260,Kupienin,47-907,Saperow,335,
261,Krzepocinek,86-125,Grodzka,335,31
262,Langanki,92-972,Pocztowa,790,13
263,Laskowo,62-316,Kalinowa,736,10
264,Rogalik,33-108,Sportowa,884,11
265,Lubcz,60-675,Rycerska,843,
266,Lubenka,12-611,Deszczowa,570,79
267,Barchnowy,40-540,Szmaragdowa,985,67
268,Lady,85-213,Wierzbowa,155,82
269,Gorzkowice,62-814,Sosnowa,551,40
270,Leszczynki,86-461,Zlota,295,
271,Krzepice,96-874,Zorzy,365,
272,Bachury,55-286,Jasminowa,675,
273,Rogielkajmy,74-513,Palmowa,908,52
274,Rogaszyce,53-333,Glogowa,780,
275,Laski,30-258,Jeziorna,905,
276,Bagnica,85-997,Slonecznikow,219,
277,Kramarzyny,20-988,Strusia,450,96
278,Rogieniczki,59-712,Wrzesniowa,129,24
279,Adamowizna,31-541,Pigwowa,732,
280,Badów,29-356,Ptasia,107,
281,Kupowo,48-490,Malownicza,84,83
282,Kranek,71-168,Szeroka,903,4
283,Gorzyca,53-750,Azaliowa,592,28
284,Gorzów,64-408,Wiklinowa,456,
285,Lubenia,25-669,Wiatrow,683,21
286,Leszczynek,29-518,Zielone Wzgorze,520,
287,Kurabka,72-636,Fiolkow,955,
288,Barany,69-233,Pancerniakow,936,12
289,Krakuszowice,87-480,Cicha,403,
290,Lubaszowa,24-874,Rzepakowa,978,
291,Bakaniuk,81-886,Wiatrow,24,36
292,Lubaty,95-990,Opalowa,872,
293,Luberadzyk,76-767,Blawatkow,41,
294,Krzepiszyn,98-100,Wiklinowa,502,
295,Krakulice,22-784,Swiatowida,126,71
296,Bagno,88-632,Mirtowa,793,
297,Lubcza,18-210,Rumiank�w,695,0
298,Gorzyca,54-729,Wypoczynkowa,875,53
299,Baranówka,59-108,Jasna,561,
300,Krzepocinek,41-946,Swierkowa,772,
301,Leszkowy,24-486,Pancerniakow,885,6
302,Kupno,45-154,Slowianska,183,66
303,Lubartów,64-385,Macierzy,108,8
304,Kupientyn,55-662,Zielone Wzgorze,845,71
305,Krzeptów,73-481,Spacerowa,653,
306,Gorzycko,17-587,Wiazowa,495,85
307,Krzepielów,35-463,Zorzy,788,
308,Leszczyniak,13-828,Niezapominajek,21,5
309,Bagno,77-595,Tkacka,672,46
310,Bajdyty,86-738,Morska,380,18
311,Kupienin,77-770,Spokojna,970,
312,Krakuszowice,67-150,Jasminowa,834,
313,Lubianka,27-303,Kwiatowa,208,31
314,Lubianek,48-409,Ksiezycowa,444,24
315,Krakowice,26-102,Zalesie,608,
316,Lubatka,19-297,Przyjazni,98,
317,Kramarzówka,59-144,Zlotych Klosow,663,
318,Baranica,42-788,Wakacyjna,445,
319,Badów,83-125,Stoczniowcow,27,
320,Antonin,44-933,Rozana,984,38
321,Lalin,32-501,Jabloniowa,761,69
322,Balcerów,57-652,Jabloniowa,361,47
323,Kranów,58-123,Wodnika,60,39
324,Lamk,21-556,Tychowska,553,22
325,Bagdad,48-877,Mirtowa,702,
326,Antonia,59-761,Zgoda,958,
327,Barcie,54-286,Spoldzielcza,309,
328,Baciuty,62-837,Fiolkow,843,
329,Leszczynki,59-122,Slupska,933,
330,Barankowo,61-943,Kra�cowa,562,
331,Kramnik,13-373,Podmiejska,678,
332,Abramy,69-841,Jasminowa,446,73
333,Rogatka,84-280,Opalowa,14,3
334,Bagatelka,53-784,Wiklinowa,162,63
335,Banachy,15-184,Jeziorna,63,
336,Kramkówka,11-189,Mahoniowa,2,58
337,Rogalki,20-285,Tkacka,784,
338,Barciszewo,62-988,Gajowa,478,
339,Antoniówka,76-703,Biwakowa,620,21
340,Gorzyce,73-975,Zefirowa,793,
341,Kramarzyny,30-551,Zyzna,584,71
342,Laskowice,24-970,Liliowa,289,68
343,Lalkowy,80-597,Pogodna,747,64
344,Barciszewo,12-809,Zarnowiecka,843,51
345,Rogalik,34-276,Wspolna,136,35
346,Bagieniec,15-290,Bajkowa,220,35
347,Badrzychowice,55-558,Sezamkowa,405,86
348,Bandrów,42-821,Rzemieslnicza,122,39
349,Kupientyn,15-571,Lesna,907,
350,Adamkowo,78-542,Zwirowa,385,30
351,Leszczyny,70-750,Kasztanowa,756,64
352,Leszczyniec,83-207,Modrzewiowa,479,59
353,Antolka,91-574,Ulanska,886,
354,Bagienki,60-305,Pogodna,520,11
355,Barciszewo,13-288,Jesionowa,570,
356,Lubaty,52-485,Mahoniowa,953,
357,Ladorudzek,35-251,Widokowa,450,13
358,Barankowo,96-142,Stoczniowcow,558,
359,Lamki,54-836,Cisowa,252,
360,Leszkomin,33-933,Sarzynska,985,
361,Barbarówka,55-892,Lniana,625,65
362,Godziszewo,73-449,Jodlowa,172,
363,Kupienin,28-102,Szeroka,380,
364,Lakiele,10-674,Fiolkow,523,
365,Adamowo,71-198,Jezynowa,289,81
366,Krzepiszyn,23-167,Grodzka,635,
367,Rogalów,19-858,Panoramiczna,153,81
368,Ladorudzek,86-445,Orzechowa,753,
369,Gorzyczki,16-171,Debowa,772,94
370,Antonina,40-395,Niepodleglosci,626,34
371,Antonina,62-215,Wakacyjna,807,
372,Kupientyn,56-512,Zurawia,655,
373,Baldwinowice,70-835,Pancerniakow,581,97
374,Bandysie,56-145,Spacerowa,46,20
375,Lanckorona,78-251,Pogodna,403,
376,Adaminowo,90-878,Promowa,564,58
377,Barcice,21-692,Akacjowa,640,29
378,Antoninów,44-405,Szeroka,557,89
379,Bagicz,27-539,Szeroka,994,60
380,Lubaty,75-225,Sosnowa,255,
381,Baranówko,14-235,Jeziorna,474,
382,Rogalinko,57-885,Wisniowa,400,
383,Barcikowo,86-662,Solecka,43,
384,Ladzin,91-450,Rzeczna,83,9
385,Gorzuchów,39-337,Slupska,986,47
386,Luberadz,89-197,Kwiatowa,425,
387,Lubianki,30-885,Brzozowa,272,2
388,Laskowizna,84-615,Jodlowa,277,
389,Adamki,38-577,Glogowa,199,73
390,Baczyn,85-150,Szmaragdowa,674,61
391,Bagienice,16-823,Plowce,40,91
392,Grabianka,88-316,Truskawkowa,181,45
393,Leszkomin,10-906,Lniana,635,76
394,Baranówka,57-196,Strefowa,695,20
395,Laskowice,73-645,Swierkowa,306,
396,Bachorce,84-614,Swierkowa,823,65
397,Ladzin,20-287,Zurawinowa,855,
398,Lubczyna,51-748,Grodzka,206,
399,Laska,40-304,Gozdzikow,997,46
400,Barcikowo,27-264,Pocztowa,251,
401,Krzeptów,49-571,Przyjazni,476,99
402,Grabarka,62-646,Mlodosci,318,12
403,Barbarówka,82-396,Spokojna,135,4
404,Krzepin,24-694,Kalinowa,863,44
405,Krajów,57-116,Zwirowa,445,85
406,Adamów,40-228,Szkolna,37,74
407,Adamowa,27-997,Krokusow,243,30
408,Bajerze,12-202,Jeziorna,518,
409,Krzeptów,94-612,Niepodleglosci,770,
410,Rogalik,91-762,Fiolkow,599,
411,Antoniów,66-183,Teczy,174,1
412,Baligród,83-162,Smiala ,346,96
413,Baczyna,27-566,Polnocna,16,75
414,Bagienica,23-752,Limbowa,132,
415,Adamówek,19-158,Paproci,622,
416,Rogi,60-417,Wichrowa,862,
417,Bagniewo,98-199,Opalowa,54,15
418,Bagniewo,35-331,Lniana,420,62
419,Antonie,65-384,Szkolna,664,7
420,Laskowiec,49-589,Niepodleglosci,285,
421,achanowo,83-403,Podmiejska,399,52
422,Balcarzowice,54-204,Panoramiczna,868,33
423,Barciany,95-461,Cicha,967,18
424,Bagrowo,72-804,Morska,385,20
425,Krzepocinek,87-144,Brzozowa,766,
426,Lamki,16-846,Topolowa,503,
427,Kupienin,18-398,Rzepakowa,518,31
428,Annówka,65-816,Projektantow,715,91
429,Krapkowice,73-194,Wakacyjna,567,
430,Rogalik,18-297,Rumiank�w,639,
431,Grabarze,14-286,Letnia,969,44
432,Balinka,97-831,Widokowa,941,58
433,Kuplisk,58-582,Podmiejska,453,
434,Leszkomin,98-278,Polna,669,41
435,Lubianki,55-414,Promowa,190,
436,Lasaki,98-855,Panoramiczna,743,49
437,Antoninów,71-873,Glogowa,776,
438,Bajorski,14-613,Tychowska,646,
439,Grabanów,68-355,Saperow,968,
440,Bagno,21-613,Sloneczna,683,
441,Rogazy,33-818,Wakacyjna,900,
442,Kranów,42-195,Sprezarkowa,84,29
443,Balin,78-478,Akacjowa,409,
444,Rogieniczki,88-185,Jabloniowa,530,80
445,Antomieszki,96-984,Plowce,466,
446,Rogielkajmy,79-447,Wedrowna,490,0
447,Barcza,73-606,Zeglarska,637,
448,Bagna,34-861,Roz,103,58
449,Grabarka,80-216,Jasminowa,497,39
450,Antonowo,75-589,Szafirkow,488,30
451,Laska,90-814,Rubinowa,717,
452,achanowo,30-542,Rumiank�w,354,2
453,Antolin,94-579,Palmowa,959,15
454,Laseczno,24-419,Stokrotek,669,
455,Adamczycha,33-355,Gęsia,697,14
456,Lacka,46-399,Blekitna,583,82
457,Adamek,35-153,Fiolkow,852,93
458,Lubejki,97-532,Wrzesniowa,694,
459,Krzepiszyn,98-607,Bajkowa,870,
460,Adamowa,47-565,Promykowa,324,
461,Bachotek,99-570,Wiklinowa,587,
462,Kupienin,13-298,Krakowska,52,
463,Antoniewko,66-400,Nasturcji,936,
464,Bagnica,78-458,Ksiezycowa,399,
465,Adamowice,43-743,Pszeniczna,19,
466,Bajdy,72-734,Gozdzikow,653,
467,Bachlawa,48-197,Ziemowita,315,
468,Gorzuchy,47-108,Sarzynska,562,
469,Bagna,40-911,Slonecznikow,282,62
470,Grabarze,85-309,Dworcowa,27,
471,Abramy,30-987,Pszeniczna,404,38
472,Rogawka,17-744,Magnolii,693,36
473,Rogieniczki,97-562,Szkolna,600,
474,Bagno,11-462,Wspolna,493,
475,Barcie,53-259,Debowa,971,
476,Lubianka,32-623,Klonowa,532,70
477,Kramkowo,61-299,Bliska,634,44
478,Antonia,15-496,Przyjazni,587,53
479,Banica,54-221,Jasminowa,45,
480,Gorzuchów,29-236,Ksiezycowa,482,
481,Baranowo,59-743,Mahoniowa,820,45
482,Bachowice,81-188,Ulanska,586,29
483,Annówka,12-225,Morska,699,43
484,Baniewice,27-387,Kasztanowa,200,10
485,Kupienin,63-284,Pigwowa,584,
486,Rogity,94-774,Orlikow,823,50
487,Adampol,23-675,Niezapominajek,605,18
488,Gorzuchów,70-619,Gajowa,650,70
489,Bakaniuk,10-750,Zgoda,495,
490,Bandysie,40-714,Hebanowa,929,
491,Bania,54-460,Projektantow,298,
492,Kramkówka,72-689,Pancerniakow,993,63
493,Baciuty,15-723,Orlikow,775,
494,Krzepocin,58-639,Glogowa,951,
495,Rogierówko,94-282,Rozana,924,79
496,Lubawa,89-258,Zalesie,22,
497,Antonówka,65-573,Hebanowa,732,10
498,Lubatka,71-537,Wiazowa,560,32
499,Antoniny,16-205,Morska,692,
500,Gorzuchowo,69-491,Rzepakowa,351,
501,Rogienice,47-867,Rzemieslnicza,880,3
502,Badulki,26-885,Dobra,964,19
503,Balewo,17-105,Biwakowa,78,99
504,Barciszewo,42-808,Olchowa,788,
505,Ladeniska,46-260,Rycerska,912,22
506,Laski,51-700,Biwakowa,749,
507,Rogazy,77-752,Saperow,254,79
508,Bajorski,30-418,Wrzosow,948,
509,Kramkówka,41-589,Niepodleglosci,706,
510,Lamk,16-679,Tradycji,126,32
511,Lubejki,13-964,Roz,171,
512,Bachotek,83-355,Diamentowa,593,
513,Bajtkowo,53-964,Letnia,680,56
514,Bakaniuk,71-177,Kra�cowa,891,
515,Adamówka,65-564,Zytnia,539,
516,Leszczynek,35-489,Niepodleglosci,704,40
517,Barcice,62-244,Zbozowa,705,
518,Krakowiany,76-119,Zbozowa,542,
519,Baniocha,36-123,Syrenki,590,
520,Kupna,29-449,Orlikow,502,
521,Bagniewo,97-549,Wesola,59,
522,Kramarzyny,72-275,Jezynowa,798,
523,Lubenia,32-498,Liliowa,223,
524,Baczki,94-483,Nagietkow,596,48
525,Lubejki,69-416,Orlikow,243,18
526,Krzepocin,11-242,Projektantow,955,21
527,Barankowo,19-892,Stoczniowcow,679,
528,Krzepocinek,73-351,Zlota,833,
529,Bachorza,41-629,Mahoniowa,64,95
530,Baranówek,57-990,Malinowa,474,98
531,Baligród,39-521,Jachtowa,180,55
532,Bachorzew,26-845,Wakacyjna,542,90
533,Lubatowa,23-840,Spoldzielcza,904,
534,Bachów,86-923,Wspolna,173,
535,Lubcza,40-187,Jagodowa,545,
536,Adamkowo,62-858,Jasna,318,63
537,Bachury,33-536,Debowa,658,62
538,Bagniewko,12-993,Czeremchowa,285,
539,Grabanów,23-787,Kra�cowa,44,
540,Kramarzówka,12-504,Niezapominajek,466,10
541,Grabianka,18-361,Lniana,384,16
542,Bagicz,68-365,Slowikow,864,27
543,Grabanów,11-686,Cisowa,721,
544,Balbinów,11-183,Malownicza,875,
545,Lubatowa,87-841,Kalinowa,173,68
546,Adamowo,39-428,Jarzebinowa,294,54
547,Lubejki,61-325,Limbowa,904,
548,Barcikowo,57-466,Torfowa,15,
549,Grabia,67-256,Malownicza,463,13
550,Baranki,85-509,Promowa,2,
551,Bachlawa,96-837,Syrenki,158,
552,Badów,80-152,Akacjowa,957,66
553,Godziszowa,87-491,Wspolna,983,
554,Kurabka,43-515,Klonowa,906,
555,Bachów,74-834,Zielona,461,86
556,Rogawica,44-571,Sloneczna,914,47
557,Barcin,40-679,Sosnowa,107,73
558,Baldram,24-895,Rzemieslnicza,704,69
559,Annówka,99-480,Daleka,668,52
560,Bandysie,54-235,Sportowa,614,59
561,Baciki,72-524,Polnocna,323,
562,Bagnica,91-883,Widokowa,833,7
563,Krakówek,70-710,Wisniowa,200,
564,Gorzkowiczki,43-762,Glogowa,438,74
565,Bachorzewo,63-164,Mlodosci,700,
566,Balice,58-440,Grodzka,779,
567,Antonówka,48-535,Golebia,112,
568,Balnica,51-172,Spokojna,865,
569,Antolin,15-335,Opalowa,338,88
570,Lubaszcz,83-173,Wspolna,315,
571,Laskowo,63-193,Mahoniowa,197,96
572,Bagatela,88-906,Jezynowa,792,81
573,Rogalinek,64-545,Dworcowa,344,
574,Kupin,88-888,Skowronkow,984,86
575,Bachorze,84-868,Wrzosow,456,30
576,Grabczok,16-522,Pszeniczna,827,
577,Antolin,43-220,Tradycji,490,
578,Lubianki,71-461,Daleka,915,36
579,Bachorzewo,12-328,Szafirkow,501,
580,Barce,94-165,Slowikow,854,28
581,Achrymowce,20-912,Sosnowa,338,
582,Leszczyn,29-324,Gozdzikow,113,5
583,Abisynia,53-209,Nasturcji,728,59
584,Kraków,85-408,Orlikow,600,
585,Baligród,45-457,Niezapominajek,732,57
586,Kramarka,98-573,Makow,599,94
587,Lubecko,74-274,Skowronkow,20,
588,Lubiana,76-226,Spacerowa,734,28
589,Anteczków,58-647,Sosnowa,874,
590,Lubejki,65-393,Bliska,688,17
591,Baliki,81-922,Ulanska,539,8
592,Baranowo,45-569,Paproci,699,90
593,Antoniewice,25-252,Wrzosow,777,
594,Antoninów,15-236,Slonecznikow,307,
595,Lafajetowo,30-895,Sadowa,998,22
596,Annówka,58-445,Kwiatowa,322,
597,Adamierz,30-643,Kupiecka,940,
598,Leszkiemie,86-169,Jasminowa,74,
599,Laskowizna,81-892,Mirtowa,971,98
600,Bajdy,28-110,Roz,554,79
601,Adamów,43-304,Rzeczna,492,
602,Abramy,10-266,Ziemowita,759,
603,Lubartów,83-612,Gozdzikow,368,61
604,Gorzkowice,99-581,Sprezarkowa,910,24
605,Kuranów,48-498,Jezynowa,835,79
606,Antoninów,23-103,Bajkowa,461,
607,Laskowiec,56-102,Krokusow,993,70
608,Barce,18-432,Sosnowa,564,
609,Barcie,31-823,Ziemowita,945,
610,Bachorze,18-564,Zwirowa,31,28
611,Adamczycha,60-555,Lakowa,502,27
612,Bagna,84-430,Ulanska,978,
613,Grabianowo,96-349,Wesola,749,
614,Godziszewy,52-629,Strumykowa,954,
615,Kupnina,66-194,Jasminowa,83,45
616,Lubenka,46-377,Jachtowa,972,1
617,Bachorza,21-408,Biwakowa,67,27
618,Kupienin,82-576,Kalinowa,751,95
619,Baczki,15-639,Harcerska,315,
620,Bajtkowo,21-814,Kalinowa,339,
621,Rogielkajmy,66-890,Szpitalna,906,
