id,miasto,kod_pocztowy,ulica,nr_budynku,nr_lokalu
110,Antoniewko,89-121,Sprezarkowa,252,
111,Baniewice,24-298,Brzoskwiniowa,482,79
112,Baniewice,73-594,Leszczynowa,71,
113,Laliny,43-834,Ziemowita,887,
114,Bachorzewo,77-665,Irysow,342,85
115,Laski,54-520,Spokojna,638,21
116,Bania,80-769,Rozana,475,9
117,Luberadz,26-927,Gozdzikow,578,52
118,Lacka,73-627,Kasztanowa,404,37
119,Bachorze,34-571,Zielone Wzgorze,231,
120,Adamki,54-922,Polna,610,16
121,Antoniów,65-593,Jezynowa,616,
122,Lalkowy,51-857,Rzepakowa,299,
123,Bachorzewo,84-545,Prosta,80,
124,Lubartów,89-427,Wiklinowa,396,
125,Antonia,89-205,Wrzosow,456,
126,Antonowo,49-362,Zarnowiecka,352,53
127,Leszczyn,39-654,Morska,693,55
128,Bañska,20-471,Zielona,136,
129,Gorzyczki,51-669,Nadbrzezna,419,
130,Bagienki,50-199,Solecka,157,79
131,Antonowo,81-495,Sezamkowa,576,
132,Abramowice,13-568,Parkowa,780,
133,Krakulice,80-817,Harcerska,133,
134,Bajorski,45-239,Slupska,544,91
135,Balice,17-180,Zyzna,668,
136,Bachorce,63-350,Bliska,518,
137,Lubatka,15-443,Wypoczynkowa,601,
138,Leszczyn,85-503,Zefirowa,529,
139,Kramnik,26-477,Letnia,439,20
140,Antoniów,28-442,Polna,235,88
141,Kupientyn,72-547,Stoczniowcow,442,78
142,Rogalin,25-279,Jeziorna,99,37
143,Lalkowy,72-984,Jachtowa,199,73
144,Adamowa,32-348,Bzow,927,
145,Balcerów,16-253,Strefowa,571,
146,Laseczno,69-471,Daleka,577,
147,Lubejki,63-648,Zwyciestwa,218,12
148,Lasaki,15-558,Slaska,371,
149,Landek,80-539,Jezynowa,722,86
150,Gorzkowiczki,22-690,Spokojna,929,
151,Rogalice,15-409,Zlotych Klosow,682,
152,Antonina,53-872,Jezynowa,544,
153,Kupientyn,72-547,Czeremchowa,109,18
154,Antoniów,77-416,Zwirowa,736,82
155,Kurabka,85-859,Sezamkowa,365,15
156,Barcikowo,30-635,Morska,724,
157,Bagatelka,18-944,Niepodleglosci,938,
158,Lubatowa,84-954,Zlota,970,
159,Abramów,68-500,Sportowa,582,56
160,Leszkowice,83-312,Blekitna,1,
161,Lubecko,90-153,Pigwowa,616,
162,Lamk,96-368,Sportowa,712,26
163,Krzepielów,21-846,Projektantow,615,14
164,Lubczyno,34-375,Lniana,478,68
165,Achrymowce,87-546,Szkutnicza,713,
166,Adamkowo,63-859,Rumiank�w,937,
167,Balewo,47-506,Smiala ,241,74
168,Balczewo,40-129,Magnolii,607,94
169,Laryszów,51-232,Slowikow,223,54
170,Antonów,66-928,Jasna,860,
171,Bachorze,90-967,Boczna,540,
172,Lasaki,50-841,Boczna,282,
173,Rogalino,18-222,Zlota,797,29
174,Antoninek,61-581,Wisniowa,370,91
175,Rogienice,63-103,Roz,95,22
176,Baczyn,87-475,Malinowa,203,65
177,Kraplewo,59-461,Gerberowa,644,65
178,Bachorzewo,75-501,Koronkowa,497,42
179,Antoniki,66-455,Lesna,444,10
180,Lakiele,59-366,Wiatrow,21,34
181,Adamowa,13-972,Niezapominajek,826,23
182,Antonia,64-339,Zgoda,734,3
183,Antonielów,23-326,Alabastrowa,516,
184,Godziszowa,85-320,Rozana,492,
185,Adamowizna,69-381,Spacerowa,179,
186,Baciuty,20-318,Wiazowa,173,3
187,Grabia,87-643,Nasturcji,528,
188,Lubaszowa,84-549,Pocztowa,24,44
189,Adamka,84-310,Mirtowa,500,29
190,Baraki,81-557,Papiernicza,328,15
191,Baniocha,66-351,Slowikow,746,
192,Gorzyca,57-961,Cicha,283,81
193,Las,57-222,Tatarakow,230,19
194,Lubaszowa,70-742,Orlikow,797,
195,Lady,68-105,Olchowa,192,
196,Bagienica,99-728,Kra�cowa,552,25
197,Rogaszyce,46-606,Prosta,71,1
198,Balczewo,89-558,Zytnia,996,
199,Bañkowszczyzna,69-994,Szafranowa,221,
200,Bajkowizna,80-262,Wrzesniowa,926,
201,Bagrowo,90-777,Wisniowa,685,24
202,Barciany,13-331,Lesna,599,44
203,Balików,24-610,Wrzesniowa,430,56
204,Lubaty,61-888,Owsiana,39,
205,Kramarka,98-345,Projektantow,284,
206,Badrzychowice,30-969,Widokowa,51,90
207,Antonów,84-517,Slowianska,742,39
208,Bagienica,25-458,Slowianska,504,80
209,Lasanka,64-271,Wspolna,890,
210,Lubatowa,18-655,Zefirowa,169,
211,Bagienko,57-174,Pocztowa,834,
212,Adamki,66-933,Cicha,586,
213,Bajkowizna,37-188,Zalesie,566,
214,Bagny,33-110,Rzemieslnicza,801,95
215,Bajdy,55-699,Rycerska,487,
216,Adamów,32-572,Roz,963,
217,Lubatka,96-926,Panoramiczna,78,80
218,Barciany,31-751,Wypoczynkowa,741,53
219,Gorzyca,91-752,Promykowa,289,27
220,Lubatowa,84-961,Roz,34,
221,Gorzkowiczki,47-293,Zytnia,137,
222,Leszczyna,79-354,Diamentowa,647,14
223,Rogieniczki,93-969,Lesna,899,1
224,Balewo,95-177,Zgoda,489,
225,Badów,33-764,Swierkowa,346,
226,Baraki,59-596,Tkacka,453,
227,Krzepczów,21-526,Wiatrow,81,34
228,Bale,67-715,Projektantow,331,
229,Barcie,60-553,Blekitna,553,
230,Ladzin,58-800,Boczna,313,
231,Baczki,13-428,Letnia,377,72
232,Barak,82-822,Kupiecka,752,70
233,Rogiedle,53-119,Papiernicza,648,33
234,Antoniów,14-884,Slonecznikow,760,19
235,Rogalki,24-547,Dworcowa,785,16
236,Bagatelka,50-324,Spokojna,644,20
237,Lubenka,28-901,Sarzynska,222,
238,Lubenka,66-431,Pocztowa,770,60
239,Barchnowy,89-173,Dworcowa,3,
240,Rogi,89-399,Sosnowa,133,
241,Lubiana,22-231,Cedrowa,373,44
242,Krajów,89-908,Teczy,929,64
243,Antoniny,61-610,Zeglarska,126,18
244,Bagienko,80-195,Pigwowa,0,
245,Leszczyny,67-674,Tychowska,66,43
246,Gorzuchowo,10-539,Projektantow,871,
247,Baranowice,72-266,Orzechowa,140,
248,Bachorzyn,64-511,Wrzosow,767,
249,Baranica,77-751,Mlodosci,6,
250,Kurabka,98-239,Wrzesniowa,463,
251,Adaminowo,59-915,Wspolna,50,71
252,Baranowiec,27-187,Akacjowa,454,
253,Antonielów,67-949,Palmowa,378,2
254,Adamki,33-798,Zielona,664,86
255,Kupin,99-844,Rzeczna,490,
256,Adamczycha,66-188,Strusia,470,
257,Baniocha,90-172,Szmaragdowa,571,39
258,Rogienice,56-711,Topolowa,530,
259,Grabarka,52-851,Zlota,224,87
260,Lalin,91-883,Deszczowa,939,80
261,Grabarka,96-904,Malownicza,759,27
262,Rogalki,60-873,Stokrotek,706,4
263,Adamowice,25-897,Ptasia,677,21
264,Barankowo,50-779,Ptasia,949,
265,Antoninów,31-403,Sezamkowa,274,
266,Kupno,55-541,Mirtowa,780,
267,Rogalino,21-407,Zbozowa,283,95
268,Barak,98-773,Mirtowa,218,25
269,Gorzyce,62-168,Palmowa,687,76
270,Barcice,56-812,Gerberowa,428,44
271,Krzepin,89-215,Sanatoryjna,714,
272,Kranów,72-235,Sosnowa,435,83
273,Barchów,50-624,Alabastrowa,598,44
274,Leszczynka,42-163,Ksiezycowa,332,24
275,Adamowa,44-683,Rycerska,748,5
276,Lubcza,69-784,Daktylowa,987,56
277,Krakuszowice,52-966,Hebanowa,743,
278,Bacze,35-609,Fiolkow,334,
279,Baranów,61-891,Niepodleglosci,802,
280,Antonie,79-937,Swierkowa,994,7
281,achanowo,86-549,Sprezarkowa,414,4
282,Kraków,64-367,Ksiezycowa,804,
283,Bagnica,79-944,Pigwowa,599,89
284,Godziszów,83-354,Rozana,751,14
285,Baranki,95-249,Fiolkow,30,
286,Gorzuchów,22-555,Letnia,82,69
287,Baldwinowice,68-759,Wesola,868,50
288,Lubiaszów,15-506,Jasna,215,99
289,Kupimierz,54-651,Szyprow,621,
290,Bajtkowo,74-967,Roz,672,69
291,Adaminowo,39-920,Zwirowa,742,
292,Gorzuchów,57-640,Mirtowa,191,63
293,Banachy,69-776,Jasminowa,790,
294,Leszczynki,34-214,Zakole,620,10
295,Adamowice,93-427,Swiatowida,192,
296,Lubawa,55-935,Zwirowa,998,
297,Bagatele,43-700,Rozana,366,7
298,Lubianek,87-807,Modrzewiowa,956,
299,Kramarzówka,80-728,Wspolna,962,
300,Barciany,47-968,Gęsia,872,
301,Bachów,51-565,Sanatoryjna,217,
302,Rogaszyce,96-624,Glogowa,871,
303,Bañki,34-186,Nadbrzezna,335,
304,Bachlawa,50-382,Sosnowa,530,
305,Krzepin,77-249,Krakowska,367,79
306,Antomieszki,76-441,Sliwkowa,952,37
307,Kurabka,85-595,Zefirowa,846,88
308,Antonielów,68-602,Nasturcji,78,
309,Antoninów,38-387,Tradycji,218,99
310,Banachy,67-427,Bzow,399,
311,Rogalki,53-485,Solecka,552,
312,Badów,30-491,Limbowa,109,34
313,Baranowo,35-982,Topolowa,725,
314,Baczyna,95-148,Zarnowiecka,403,41
315,Anteczków,82-922,Saperow,356,86
316,Adamówek,47-105,Czeremchowa,750,58
317,Antoniów,97-276,Wichrowa,98,
318,Banaszki,40-810,Sportowa,16,25
319,Landzmierz,23-773,Sportowa,764,
320,Lubawa,27-908,Zurawia,167,68
321,Banachy,57-303,Mlodosci,306,55
322,Lubenia,62-310,Opalowa,698,47
323,Bañkowszczyzna,71-554,Projektantow,438,
324,Lubcza,59-529,Panoramiczna,706,
325,Krzepocinek,52-901,Jesionowa,287,
326,Bajkowizna,53-272,Projektantow,153,
327,Adamowa,46-598,Zacisze,594,92
328,Laskowice,80-940,Lniana,584,
329,Landzmierz,86-563,Cisowa,789,31
330,Bagienko,33-379,Slupska,912,
331,Annówka,89-972,Magnolii,553,
332,Landek,90-204,Gajowa,574,48
333,Leszkiemie,20-237,Stokrotek,639,53
334,Godziszka,31-173,Kra�cowa,229,
335,Kupce,11-630,Alabastrowa,41,
336,Krakulice,54-162,Nagietkow,558,
337,Grabanów,29-298,Azaliowa,761,31
338,Gorzuchów,28-605,Debowa,792,85
339,Antoniów,15-939,Szeroka,197,
340,Leszczyny,73-384,Promowa,945,19
341,Lubczyna,53-185,Orlikow,373,
342,Abramy,26-678,Promykowa,319,43
343,Krzepocinek,48-784,Szeroka,802,
344,Lalkowy,49-220,Zwyciestwa,577,
345,Barbarka,17-817,Wierzbowa,476,
346,Luberadzyk,77-926,Wierzbowa,466,32
347,Balbinów,18-746,Skowronkow,830,11
348,Bachotek,44-663,Wiazowa,402,60
349,Krzemykowo,32-197,Macierzy,148,
350,Baldram,88-826,Ziemowita,944,11
351,Adamowa,80-702,Wesola,889,59
352,Rogieniczki,53-979,Topolowa,231,99
353,Laskowiec,76-438,Paproci,784,39
354,Antonówka,44-280,Niepodleglosci,940,
355,Rogatka,79-843,Zgoda,750,23
356,Baranówka,53-721,Tradycji,98,
357,Laseczno,23-635,Spacerowa,137,
358,Bajory,65-382,Ptasia,591,74
359,Gorzupia,30-505,Irysow,301,64
360,Bagatelka,70-348,Kasztanowa,67,
361,Krakowice,10-386,Strumykowa,205,54
362,Kramsk,26-970,Rybacka,231,
363,Kurabka,19-752,Zgoda,675,
364,Krzepice,44-821,Papiernicza,767,89
365,Rogierówko,67-886,Macierzy,170,32
366,Lamki,91-628,Torfowa,160,66
367,Kraplewo,42-994,Zielona,45,
368,Balinka,49-637,Glogowa,191,
369,Bajkowizna,59-239,Gwiezdna,307,94
370,Lakiele,43-115,Truskawkowa,281,68
371,Kraplewo,20-937,Zwyciestwa,824,
372,Banachy,69-301,Leszczynowa,502,62
373,Krzepocin,13-614,Grodzka,909,
374,Bagniewo,57-267,Harcerska,433,
375,Grabia,63-909,Dobra,524,
376,Krakowice,86-211,Strusia,261,66
377,Bajorski,13-501,Ulanska,825,
378,Bagniewo,52-390,Owsiana,83,46
379,Antoniewko,92-869,Zlotych Klosow,780,33
380,Barcice,97-410,Sprezarkowa,56,57
381,Lamkowizna,75-429,Promykowa,794,
382,Bagienko,49-233,Krakowska,338,
383,Antoniów,87-194,Rzemieslnicza,855,
384,Bagicz,66-974,Dobra,595,
385,Lubczyno,38-639,Parkowa,602,
386,Lady,91-152,Spacerowa,222,39
387,Balcarzowice,24-410,Koronkowa,644,
388,Balczewo,13-433,Kwiatowa,408,9
389,Laskowizna,24-540,Roz,737,
390,Antoninów,48-333,Kwiatowa,992,
391,Lubianki,63-153,Tychowska,357,30
392,Bagno,78-735,Jagodowa,654,
393,Lasanka,91-982,Gęsia,565,98
394,Baczków,64-628,Wrzesniowa,209,9
395,Adamki,92-417,Krotka,651,26
396,Lubatowa,99-294,Sportowa,349,
397,Kup,88-590,Promowa,447,54
398,Kupiatycze,95-297,Klonowa,300,
399,Bagdad,78-556,Wisniowa,111,
400,Krzepocinek,38-202,Nasturcji,603,46
401,Ladeniska,24-149,Rumiank�w,435,78
402,Antoniki,88-488,Niepodleglosci,508,
403,Bagieniec,77-757,Sanatoryjna,785,
404,Antomieszki,26-198,Krakowska,835,79
405,Barce,44-202,Plowce,675,22
406,Barce,39-205,Rumiank�w,144,15
407,Bajdyty,68-436,Alabastrowa,79,30
408,Lubian,85-917,Jarzebinowa,477,5
409,Lubatówka,76-717,Nagietkow,651,
410,Rogalki,24-726,Biwakowa,548,
411,Krakowice,34-151,Polnocna,27,
412,Kupnina,27-823,Orzechowa,835,47
413,Badulki,60-466,Przyjazni,902,
414,Badrzychowice,64-886,Pocztowa,13,
415,Gorzupia,54-775,Kwiatowa,567,35
416,Lubatówka,21-416,Niepodleglosci,724,
417,Adamowice,26-110,Rybacka,869,
418,Rogawka,41-681,Wiklinowa,816,
419,Baczków,48-498,Palmowa,366,
420,Antolka,53-179,Torfowa,274,
421,Gorzupia,19-969,Zyzna,858,
422,Bachotek,87-295,Zurawinowa,342,
423,Leszczynki,17-407,Jesionowa,553,79
424,Lubejki,15-577,Pigwowa,913,
425,Adamówek,30-237,Nadbrzezna,120,63
426,Godziszewo,32-948,Topolowa,712,
427,Kupna,50-232,Szmaragdowa,888,
428,Rogalów,27-763,Klonowa,107,
429,Krzepin,40-803,Czeresniowa,933,18
430,Antonia,76-609,Strusia,454,74
431,Lamkowo,80-732,Pancerniakow,389,18
432,Bachmackie,87-449,Zeglarska,888,
433,Adamowizna,48-387,Szkolna,285,
434,Godziszka,33-977,Solecka,278,39
435,Bachus,59-908,Zalesie,918,
436,Rogalinko,50-461,Zurawia,283,55
437,Bagdad,94-137,Slaska,432,
438,Bagrowo,31-600,Sportowa,846,
439,Leszkowice,60-786,Blekitna,532,9
440,Baldwinowice,24-381,Syrenki,642,18
441,Bagniewko,39-709,Podmiejska,167,
442,Krzepocinek,57-633,Opalowa,826,97
443,Krakuszowice,46-467,Zurawia,366,
444,Bacze,79-598,Pocztowa,738,
445,Laskowa,83-788,Zacisze,751,
446,Lacka,23-947,Jagodowa,559,
447,Barcinek,87-825,Rubinowa,188,
448,Krzepczów,53-141,Niezapominajek,84,
449,Lubenka,85-741,Niezapominajek,326,94
450,Barbarka,38-480,Cedrowa,414,31
451,Lubatówka,89-789,Slupska,820,
452,Bajorski,29-134,Rybacka,877,56
453,Leszkowice,79-338,Owsiana,358,91
454,Antoniewo,54-370,Spokojna,193,1
455,Adamczowice,18-565,Jezynowa,804,90
456,Bachorzyn,21-478,Owsiana,934,42
457,Rogalik,16-549,Slaska,371,
458,Baczków,49-149,Cicha,822,
459,Barchnowy,87-347,Czeresniowa,985,
460,Lubecko,94-645,Wspolna,1,24
461,Grabianów,25-544,Jasna,702,
462,Antoninów,58-953,Gerberowa,687,
463,Krakowiany,50-385,Lakowa,166,
464,Lubenia,91-508,Wierzbowa,607,
465,Bagatela,48-861,Slonecznikow,38,
466,Balin,70-216,Blawatkow,674,
467,Barany,30-248,Wiklinowa,125,6
468,Laskowice,77-261,Rzeczna,68,
469,Rogaszyn,11-686,Sprezarkowa,907,
470,Balków,96-639,Zefirowa,161,98
471,Barcice,83-506,Irysow,484,
472,Baranica,77-885,Zurawia,240,75
473,Antomieszki,78-720,Promowa,481,
474,Lubianka,21-534,Diamentowa,241,28
475,Antolin,53-918,Brzozowa,721,
476,Badulki,25-388,Slonecznikow,533,
477,Kupientyn,21-262,Jasna,530,
478,Abramów,26-475,Wichrowa,989,
479,Rogawica,50-990,Lakowa,851,
480,Rogalino,65-951,Promykowa,415,65
481,Bachowice,48-147,Syrenki,733,
482,Laska,41-432,Zefirowa,214,
483,Baranki,58-492,Rzeczna,135,
484,Barak,46-861,Zgoda,914,51
485,Bagna,26-477,Szyprow,731,
486,Antonie,25-463,Bzow,44,
487,Anonin,16-648,Rybacka,480,
488,Leszkiemie,61-400,Zarnowiecka,723,31
489,Bagienica,85-227,Sportowa,866,
490,Bagno,86-180,Wrzesniowa,777,71
491,Bagatela,66-107,Boczna,753,26
492,Lubianków,79-315,Daktylowa,533,67
493,Laliki,18-654,Wodnika,307,4
494,Adamka,24-963,Pancerniakow,38,
495,Rogawica,28-865,Bliska,71,
496,Baniocha,26-538,Zacisze,507,
497,Rogalice,29-692,Prosta,274,
498,Baniewice,99-324,Roz,859,
499,Balcarzowice,63-979,Zyzna,848,50
500,Lubczyna,42-965,Bzow,112,
501,Baranica,65-729,Slowianska,974,0
502,Balinka,71-540,Azaliowa,404,
503,Rogawica,80-123,Zbozowa,869,
504,Baranki,97-492,Szkolna,989,
505,Ladorudzek,89-366,Zorzy,835,69
506,Adamówek,94-927,Kupiecka,366,86
507,Leszczyny,42-195,Przyjazni,533,95
508,Kramarka,15-218,Tychowska,379,
509,Lubcz,78-891,Golebia,517,
510,Adamowa,53-636,Ptasia,77,67
511,Bandrów,44-257,Zorzy,248,
512,Lamk,26-401,Wspolna,960,83
513,Antonów,85-801,Krakowska,761,
514,Rogalik,86-709,Smiala ,589,
515,Antonina,90-367,Tychowska,396,62
516,Lubiaszów,35-819,Olchowa,629,
517,Balków,35-413,Klonowa,429,
518,Adaminowo,76-230,Olchowa,193,
519,Adaminowo,90-655,Plowce,61,
520,Laskowo,42-456,Swierkowa,872,82
521,Baniocha,45-353,Jezynowa,908,
522,Lasanka,67-986,Kalinowa,927,
523,Barany,25-587,Zgoda,605,41
524,Adamczycha,47-414,Zurawinowa,957,
525,Antonówka,75-906,Rycerska,147,34
526,Lamkówko,38-387,Tatarakow,642,
527,Laski,99-873,Jeziorna,705,
528,Antoniny,42-645,Slonecznikow,257,
529,Baranówko,28-427,Jachtowa,395,
530,Adamczowice,81-796,Truskawkowa,584,
531,Lubenka,50-198,Diamentowa,630,31
532,Kupimierz,58-609,Lniana,824,
533,Godziszka,85-768,Brzozowa,106,26
534,Bagicz,86-819,Pszeniczna,795,76
535,Kranek,48-179,Sliwkowa,961,
536,Grabianka,89-863,Mirtowa,904,82
537,Adamowice,36-645,Zwirowa,448,
538,Abramów,65-614,Tychowska,136,
539,Lubatowa,40-250,Gerberowa,203,
540,Antonia,42-500,Szafranowa,997,67
541,Gorzupia,17-215,Szpitalna,570,
542,Badów,63-225,Zytnia,975,
543,Gorzuchy,93-144,Szeroka,581,
544,Rogalice,58-156,Zurawia,284,
545,Lasaki,42-123,Wedrowna,676,47
546,Antonówka,52-563,Owsiana,425,
547,Godziszewo,13-314,Limbowa,744,27
548,Lubiaszów,33-840,Stokrotek,471,
549,Bagniewko,25-987,Orlikow,458,57
550,Barchów,87-977,Daleka,982,65
551,Leszczyniec,81-958,Cisowa,788,
552,Kramkowo,47-186,Irysow,713,
553,Rogaszyce,24-576,Brzozowa,221,54
554,Kranek,21-528,Zurawia,702,
555,Barcice,46-152,Polnocna,105,45
556,Adamczycha,88-774,Debowa,554,39
557,Baranowo,96-587,Swiatowida,915,
558,Kramkówka,77-154,Jezynowa,627,
559,Bachów,42-146,Zurawinowa,129,32
560,Barankowo,25-627,Zurawinowa,6,91
561,Bagienica,36-183,Zorzy,264,
562,Barcice,63-552,Rycerska,88,
563,Bandysie,69-899,Macierzy,208,4
564,Baczyn,44-402,Zwirowa,673,
565,Rogierówko,48-110,Lakowa,166,
566,Gorzkowiczki,74-350,Wiklinowa,72,
567,Kramsk,99-295,Letnia,437,13
568,Barciszewo,82-802,Biwakowa,197,86
569,Lubianków,31-533,Solecka,104,
570,Badulki,69-447,Blekitna,649,
571,Gorzyczany,65-868,Spoldzielcza,2,27
572,Bagrowo,89-170,Rubinowa,328,50
573,Lamk,47-786,Pszeniczna,14,60
574,Adamówka,47-210,Promowa,578,
575,Grabianka,20-737,Tkacka,671,55
576,Balewo,45-665,Rozana,142,62
577,Bandrów,23-624,Zakole,128,
578,Lubasz,78-168,Zefirowa,152,77
579,Laliki,99-872,Rumiank�w,357,56
580,Abisynia,29-623,Slowianska,185,28
581,Baranówko,54-982,Brzozowa,682,
582,Kupinin,90-763,Malownicza,811,21
583,Baciuty,27-523,Rumiank�w,547,
584,Laskowa,19-252,Zorzy,421,27
585,Barciszewo,95-936,Rybacka,375,78
586,Baligród,49-415,Cisowa,797,
587,Krakuszowice,55-844,Gwiezdna,489,
588,Lacka,15-760,Strumykowa,395,71
589,Balewko,92-422,Mirtowa,347,24
590,Laskowice,38-786,Koronkowa,64,
591,Kupin,70-701,Daleka,206,
592,Bagno,71-751,Topolowa,581,86
593,Balików,51-603,Zlotych Klosow,91,36
594,Adampol,88-631,Tychowska,702,
595,Barankowo,55-247,Zacisze,903,
596,Bagienice,14-564,Hebanowa,844,19
597,Lasanka,68-285,Nadbrzezna,921,
598,Baran,44-216,Limbowa,845,
599,Lalin,50-908,Solecka,974,
600,Balewo,44-593,Czeremchowa,436,
601,Adamów,68-734,Topolowa,666,23
602,Ladorudz,27-869,Czeremchowa,646,
603,Bachórzec,71-306,Bzow,933,
604,Lubaszcz,92-599,Dobra,586,
605,Kramkówka,15-969,Podmiejska,115,
606,Kraków,45-999,Brzoskwiniowa,817,56
607,Gorzuchy,96-561,Zefirowa,217,
608,Leszkiemie,56-290,Mlodosci,690,
609,Bagatelka,36-835,Jeziorna,617,20
610,Luberadzyk,15-695,Tatarakow,580,59
611,Antolin,20-794,Roz,918,
612,Ladeniska,10-456,Sadowa,257,
613,Lubczyno,19-668,Jachtowa,138,
614,Baniewice,61-976,Cisowa,147,
615,Lubianków,25-497,Deszczowa,883,33
616,Rogawka,89-444,Glogowa,368,94
617,Lamki,39-539,Jarzebinowa,317,77
618,Barcikowo,22-419,Bursztynowa,457,
619,Antoniny,89-761,Strumykowa,971,72
620,Rogalki,20-725,Niezapominajek,162,53
621,Bajdyty,63-186,Promykowa,408,
622,Gorzyce,81-177,Morska,27,
623,Krzemykowo,46-587,Tkacka,571,13
624,Grabianka,58-670,Przyjazni,971,52
625,Barce,34-110,Liliowa,297,
626,Bagniuki,96-149,Kasztanowa,639,65
627,Lamk,94-940,Cedrowa,312,11
