ID,MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU,NR_LOKALU
159,Adamowo,95-385,Wichrowa,155,
160,Leszczynki,68-865,Panoramiczna,367,
161,Kupientyn,74-866,Jesionowa,548,77
162,Antoniewo,22-320,Rumiank�w,599,
163,Banachy,63-294,Zeglarska,828,
164,Bachorce,23-592,Biwakowa,685,
165,Kranów,22-799,Zarnowiecka,639,
166,Langanki,64-160,Zielone Wzgorze,851,85
167,Lubawka,39-406,Sprezarkowa,374,18
168,Rogalinko,15-538,Szeroka,244,13
169,Baczków,51-194,Modrzewiowa,867,26
170,Rogierówko,81-947,Wiklinowa,109,54
171,Lubaty,71-520,Klonowa,716,
172,Gorzyca,16-869,Rozana,388,24
173,Lubenia,97-774,Fiolkow,187,25
174,Lubcz,30-384,Zbozowa,681,9
175,Bachmackie,62-770,Jeziorna,615,
176,Kramkówka,76-385,Biwakowa,499,85
177,Grabczok,38-571,Malownicza,563,81
178,Bachorzyn,90-180,Owsiana,82,2
179,Baldram,37-582,Papiernicza,439,36
180,Godziszewy,53-371,Panoramiczna,423,79
181,Rogalice,51-324,Pocztowa,866,
182,Grabianka,27-948,Gwiezdna,854,
183,Bagicz,12-796,Owsiana,233,
184,Adamowo,45-109,Slowianska,939,
185,Balnica,94-107,Roz,75,82
186,Kupowo,41-931,Zlota,968,
187,Antonielów,53-323,Strumykowa,193,11
188,Adamowa,67-888,Zalesie,397,58
189,Kupiatycze,73-172,Tradycji,59,41
190,Badów,81-572,Jeziorna,435,3
191,Baczyn,66-615,Ksiezycowa,828,58
192,Gorzuchowo,15-164,Rzepakowa,669,
193,Abramowice,60-345,Parkowa,225,
194,Laskowa,50-438,Zalesie,801,49
195,Bagieniec,91-485,Sosnowa,927,
196,Krakuszowice,72-655,Wiazowa,460,
197,Bakaniuk,75-708,Mlynska,874,69
198,Grabianowo,24-532,Slupska,138,
199,Antoninek,25-206,Sanatoryjna,749,
200,achanowo,59-759,Ptasia,191,
201,Rogaszyn,58-862,Sadowa,864,
202,Krzeptów,60-406,Zwyciestwa,835,86
203,Bachorzewo,93-755,Wrzosow,638,66
204,Balinka,70-379,Przyjazni,432,74
205,Bañkowszczyzna,25-736,Nagietkow,842,
206,Barcin,66-379,Ptasia,769,51
207,Bachów,24-145,Nagietkow,654,79
208,Antoniewo,82-833,Strusia,98,87
209,Luberadz,27-500,Jasminowa,92,
210,Kramnik,15-577,Ptasia,667,34
211,Lubartów,19-543,Brzoskwiniowa,958,51
212,Balików,90-511,Szkolna,408,98
213,Lubejki,40-143,Skowronkow,873,
214,Antonów,10-204,Cedrowa,652,
215,Kraplewo,46-272,Projektantow,946,53
216,Baczków,74-924,Lniana,92,
217,Lubatka,72-793,Nadbrzezna,51,
218,Bagniewko,24-694,Plowce,470,72
219,Bachorza,69-413,Jesionowa,466,86
220,Kupno,68-867,Boczna,613,92
221,Krakuszowice,21-241,Rzemieslnicza,982,
222,Gorzupia,92-469,Slowikow,845,54
223,Lubatówka,95-849,Ksiezycowa,772,
224,Ladorudzek,17-118,Spoldzielcza,438,
225,Lubenka,44-215,Blawatkow,930,
226,Kup,18-782,Polnocna,354,
227,Baczków,56-182,Magnolii,713,93
228,Balice,50-581,Czeremchowa,606,
229,Bagrowo,35-765,Kra�cowa,408,
230,Antoniki,36-631,Tradycji,267,15
231,Barbarka,65-864,Sarzynska,806,77
232,Bagny,46-862,Sosnowa,47,37
233,Bajerze,56-934,Slonecznikow,746,88
234,Grabce,85-233,Swiatowida,277,93
235,Adamowa,12-402,Saperow,713,
236,Baciuty,10-184,Sarzynska,889,47
237,Bagniewo,33-812,Zbozowa,700,94
238,Barbarka,48-145,Rubinowa,932,10
239,Adamki,36-231,Azaliowa,414,91
240,Barcikowo,86-572,Brzozowa,820,
241,Antonówka,56-262,Jabloniowa,497,
242,Barcin,32-142,Wiatrow,353,92
243,Luberadzyk,27-850,Harcerska,445,
244,Baran,90-682,Zorzy,694,
245,Bachus,87-139,Koronkowa,347,54
246,Kupna,26-201,Lakowa,945,7
247,Grabarze,58-956,Nadbrzezna,317,59
248,Bagienica,48-105,Modrzewiowa,288,
249,Barchów,55-791,Wodnika,992,
250,Badów,76-657,Czeremchowa,131,75
251,Baligród,27-853,Gozdzikow,370,
252,Krakulice,50-965,Projektantow,815,86
253,Abramów,97-334,Klonowa,58,
254,Leszczyny,67-978,Ulanska,310,
255,Rogaszyce,41-236,Strumykowa,819,69
256,Leszkomin,55-203,Sanatoryjna,343,
257,Leszczyny,79-989,Czeremchowa,615,7
258,Balcarzowice,78-432,Tradycji,324,
259,Lubaszowa,43-806,Letnia,703,59
260,Rogazy,78-174,Sprezarkowa,630,
261,Kupiatycze,53-568,Glogowa,308,
262,Leszczyniec,58-133,Azaliowa,67,67
263,Kramnik,42-638,Zlotych Klosow,860,
264,Krzepiszyn,49-815,Ptasia,177,43
265,Ladzin,37-302,Bzow,522,
266,Bagienica,77-330,Bzow,25,
267,Barchnowy,87-751,Zacisze,826,0
268,Kupin,21-815,Jeziorna,196,22
269,Bachów,78-888,Harcerska,388,30
270,Antonia,97-543,Bliska,591,
271,Lubianków,38-434,Panoramiczna,542,24
272,Baczyn,89-984,Czeremchowa,672,
273,Lamk,21-633,Daleka,549,
274,Bagienko,30-958,Wierzbowa,875,19
275,Abisynia,57-701,Magnolii,34,16
276,Bachus,52-656,Glogowa,710,5
277,Balcerów,97-584,Zielone Wzgorze,358,53
278,Lubaszowa,99-146,Pogodna,960,18
279,Kraków,74-504,Rzemieslnicza,314,
280,Baranowice,40-372,Jesionowa,25,26
281,Landzmierz,87-845,Debowa,118,28
282,Adamowice,94-762,Rzepakowa,204,
283,Landek,84-255,Koronkowa,836,26
284,Luberadz,57-655,Akacjowa,936,
285,Bagatele,74-866,Kasztanowa,455,29
286,Barchlin,69-472,Przyjazni,627,
287,Kramarzyny,66-247,Gwiezdna,238,
288,Baranów,69-155,Jabloniowa,471,
289,Barcin,55-897,Glogowa,935,
290,Kup,25-127,Teczy,584,
291,Bandysie,22-561,Sloneczna,75,
292,Lubczyna,17-656,Wakacyjna,874,
293,Barbarka,30-897,Diamentowa,303,94
294,Barcie,53-820,Ksiezycowa,562,19
295,Lubianki,15-945,Wodnika,389,
296,Balików,51-937,Przepiorek,970,
297,Leszczyniak,67-479,Slowikow,858,41
298,Antoniewko,57-921,Swierkowa,793,28
299,Baligród,38-627,Zielone Wzgorze,832,66
300,Baciuty,39-503,Cisowa,721,63
301,Laskowo,17-715,Truskawkowa,289,40
302,Laskowice,20-660,Rubinowa,271,99
303,Antoniki,41-359,Wakacyjna,473,
304,Baranów,75-659,Wakacyjna,248,
305,Antoniewice,23-806,Wakacyjna,904,81
306,Adamowa,62-636,Mlynska,905,66
307,Antolin,36-589,Sloneczna,247,76
308,Rogalki,59-317,Blekitna,855,
309,Antoniny,77-863,Sportowa,529,96
310,Baran,91-837,Mlodosci,737,
311,Rogazy,98-521,Sadowa,8,
312,Baldwinowice,94-213,Kupiecka,351,
313,Lamki,30-112,Fiolkow,129,97
314,achanowo,35-275,Swierkowa,563,
315,Kupce,27-244,Zacisze,504,
316,Antonin,34-692,Ziemowita,795,
317,Lubaszcz,10-465,Harcerska,699,
318,Barbarówka,27-971,Zlota,791,73
319,Rogity,13-384,Wisniowa,805,28
320,Gorzyczki,67-230,Papiernicza,665,53
321,Balinka,73-620,Stokrotek,204,
322,Adamowizna,99-284,Sanatoryjna,822,
323,Kramarzewo,30-722,Palmowa,273,
324,Adamowice,26-897,Jachtowa,518,
325,Abisynia,37-210,Nasturcji,565,27
326,Kraków,60-815,Kwiatowa,31,
327,Bachorce,55-617,Malownicza,148,78
328,Lubatka,67-276,Sliwkowa,480,
329,Kupce,29-544,Wiatrow,254,33
330,Antolin,33-594,Hebanowa,307,
331,Baczyn,22-690,Cedrowa,948,
332,Kraków,78-193,Rzeczna,697,
333,Leszczyniec,72-473,Plowce,194,
334,Bagno,41-943,Nasturcji,989,70
335,Lubianki,30-490,Wrzesniowa,363,
336,Gorzkowiczki,38-842,Niepodleglosci,433,31
337,Luberadzyk,12-821,Rozana,208,
338,Barcie,65-736,Nasturcji,40,45
339,Baranówko,29-704,Jachtowa,763,
340,Bagdad,40-334,Sliwkowa,882,64
341,Bachlawa,61-385,Szkolna,864,92
342,Kranek,52-548,Macierzy,665,
343,Lasanka,14-437,Ksiezycowa,624,81
344,Bagicz,93-619,Malinowa,70,
345,Grabianka,24-185,Spokojna,747,
346,Leszczynka,76-948,Rycerska,573,92
347,Kramkówka,31-534,Krokusow,338,
348,Bagienki,98-635,Daleka,815,
349,Rogawka,21-621,Lakowa,969,
350,Kramkówka,49-452,Jarzebinowa,383,4
351,Rogalki,32-475,Podmiejska,324,1
352,Baciki,52-122,Torfowa,448,
353,Rogaszyce,77-265,Gęsia,853,
354,achanowo,45-266,Smiala ,993,
355,Ladorudzek,53-442,Ulanska,814,
356,Bañkowszczyzna,70-345,Modrzewiowa,869,31
357,Bachmackie,75-107,Orzechowa,329,
358,Baran,67-970,Orzechowa,683,
359,Adamowice,41-990,Gajowa,92,
360,Bañki,30-473,Jachtowa,982,1
361,Rogalin,36-430,Strumykowa,844,
362,Rogalinko,67-320,Saperow,107,67
363,Balków,12-556,Promykowa,594,
364,Rogienice,34-400,Daleka,393,
365,Krzepielów,34-638,Gajowa,675,
366,Bagienko,48-830,Orlikow,285,
367,Badulki,91-184,Bursztynowa,349,
368,Krakowice,30-183,Jagodowa,81,12
369,Balice,18-115,Szpitalna,187,39
370,Antonowo,30-582,Zwirowa,940,80
371,Bagatela,76-922,Wypoczynkowa,945,
372,Laskowa,21-296,Sanatoryjna,57,
373,Gorzuchowo,97-650,Zgoda,736,54
374,Baran,59-952,Strusia,428,35
375,Krzeptów,37-683,Akacjowa,789,
376,Baldram,46-837,Rzeczna,804,
377,Bachotek,90-495,Zytnia,675,11
378,Kranek,44-309,Plowce,226,
379,Baranowice,49-770,Pszeniczna,615,84
380,Antoniewko,12-163,Szkolna,566,
381,Bagnica,51-969,Tkacka,253,
382,Bania,10-712,Tkacka,621,
383,Krakówek,26-545,Zbozowa,58,
384,Adamczowice,48-906,Golebia,81,3
385,Barcza,15-661,Zeglarska,126,7
386,Luberadzyk,64-222,Krakowska,885,
387,Bajerze,86-612,Alabastrowa,158,
388,Bañska,32-398,Koronkowa,15,
389,Gorzyczki,65-281,Sanatoryjna,679,
390,Gorzuchów,18-616,Slaska,496,62
391,Rogity,44-836,Bzow,11,16
392,Lubianków,31-474,Sanatoryjna,405,
393,Rogierówko,31-602,Rumiank�w,802,
394,Lasek,62-460,Malownicza,591,
395,Bacze,19-410,Gajowa,763,
396,Bagrowo,24-127,Zalesie,374,83
397,Antolin,50-206,Azaliowa,506,
398,Godziszów,54-125,Slowianska,691,59
399,Gorzków,99-727,Paproci,811,30
400,Rogalinko,81-265,Jasminowa,585,9
401,Kraplewo,35-585,Blawatkow,369,92
402,Bañki,79-187,Wrzesniowa,640,84
403,Baranowo,23-163,Koronkowa,758,37
404,Kupce,50-397,Nasturcji,982,61
405,Lanckorona,84-824,Wiatrow,213,0
406,Lamkowo,61-281,Irysow,147,
407,Banachy,64-204,Paproci,889,
408,Grabek,25-608,Strumykowa,455,
409,Abramów,57-682,Azaliowa,20,9
410,Laskowice,29-978,Malinowa,509,51
411,Krakuszowice,21-616,Jodlowa,262,90
412,Barchlin,84-456,Akacjowa,130,2
413,Laliny,19-961,Wodnika,347,
414,Ladzin,94-326,Stoczniowcow,442,67
415,Baliki,91-446,Wierzbowa,408,
416,Bagrowo,49-772,Sezamkowa,340,41
417,Bajtkowo,17-255,Krakowska,381,88
418,Langanki,57-899,Strusia,209,
419,Barciszewo,80-632,Harcerska,800,60
420,Baliki,77-691,Daktylowa,522,
421,Rogalino,48-782,Zwyciestwa,356,
422,Laskowa,19-428,Wypoczynkowa,544,68
423,Kupimierz,65-189,Malownicza,944,
424,Krzeptów,88-859,Wichrowa,457,
425,Grabczok,18-727,Polnocna,876,
426,Barbarówka,13-142,Spacerowa,698,
427,Kraków,92-478,Jezynowa,698,
428,Krzepin,83-759,Macierzy,633,57
429,Luberadzyk,57-618,Krawiecka,716,23
430,Krzeptów,55-653,Slowikow,72,
431,Kraków,97-286,Sanatoryjna,665,
432,Leszczyna,48-119,Rzeczna,418,40
433,Laseczno,87-738,Slupska,832,
434,Barcice,58-810,Zurawinowa,27,
435,Gorzyca,25-347,Niepodleglosci,934,94
436,Antoniew,42-621,Swiatowida,777,91
437,Kramarka,48-204,Poziomkowa,748,18
438,Badrzychowice,56-527,Rubinowa,904,
439,Adamczowice,14-845,Smiala ,827,94
440,Grabianowo,95-448,Teczy,614,63
441,Barchów,66-661,Pogodna,766,
442,Adamowice,71-470,Strusia,540,98
443,Lubian,62-590,Zacisze,77,
444,Laryszów,82-344,Dworcowa,855,17
445,Grabianka,89-799,Ulanska,435,
446,Kurabka,17-581,Sezamkowa,182,40
447,Badrzychowice,49-207,Lakowa,564,
448,Bania,16-398,Brzoskwiniowa,364,
449,Bachlawa,32-765,Jeziorna,947,
450,Bagieniec,37-197,Modrzewiowa,834,7
451,Banaszki,31-819,Promykowa,135,91
452,Rogalice,37-998,Polnocna,614,0
453,Bagnica,55-518,Panoramiczna,860,
454,Baciki,29-560,Sosnowa,688,
455,Lubatówka,38-212,Wiklinowa,879,93
456,Antoniówka,86-168,Blawatkow,917,74
457,Ladorudzek,48-992,Zbozowa,980,76
458,Bañki,15-188,Biwakowa,282,
459,Leszczyny,33-734,Spacerowa,723,
460,Baranki,24-782,Roz,700,29
461,Lubiana,60-823,Zwirowa,827,
462,Balbinów,11-765,Macierzy,345,8
463,Godziszów,51-481,Panoramiczna,62,
464,Banie,65-606,Rozana,307,29
465,Baczki,90-583,Slowianska,957,
466,Grabce,66-818,Harcerska,545,64
467,Krzepice,40-619,Zielona,574,23
468,Adamowo,37-641,Wesola,921,84
469,Leszkowy,52-833,Promykowa,394,40
470,Bagrowo,72-971,Sadowa,983,90
471,Laskowice,39-793,Lesna,899,
472,Gorzyce,83-135,Rzeczna,245,26
473,Baranówek,41-268,Mlynska,408,74
474,Adamek,31-126,Zorzy,168,
475,Gorzycko,73-644,Jagodowa,745,61
476,Kraków,10-571,Gęsia,921,67
477,Kup,85-389,Diamentowa,597,
478,Barbarka,72-401,Zytnia,118,
479,Bachorza,85-650,Ziemowita,455,64
480,Badów,87-787,Dworcowa,273,
481,Leszczyna,93-144,Stokrotek,731,43
482,Baczków,33-435,Zlotych Klosow,70,55
483,Kupin,61-898,Wesola,997,39
484,Krzepocin,97-258,Wodnika,77,
485,Barbarówka,57-535,Glogowa,418,
486,Baran,33-315,Gajowa,428,
487,Gorzów,42-342,Pocztowa,83,24
488,Krzesimowo,67-280,Dworcowa,271,
489,Lasek,56-543,Krawiecka,118,
490,Adamów,40-495,Szafranowa,304,92
491,Leszczyniak,62-215,Ksiezycowa,295,
492,Lubatowa,46-736,Ulanska,564,
493,Gorzyca,41-782,Blawatkow,915,
494,Landzmierz,68-623,Tkacka,592,
495,Antonów,70-677,Sanatoryjna,561,
496,Lamkowizna,30-584,Sanatoryjna,375,65
497,Bajory,38-569,Rzeczna,788,74
498,Adamkowo,35-969,Promykowa,116,19
499,Kraplewo,48-111,Macierzy,125,
500,Antoniew,55-932,Dworcowa,711,81
501,Kup,24-510,Zytnia,288,91
502,Bajdyty,38-476,Alabastrowa,717,
503,Banie,71-159,Swierkowa,197,
504,Bagatele,96-994,Strusia,118,
505,Bagniuki,47-995,Kalinowa,457,
506,Lubasz,70-669,Bzow,101,
507,Bachorzewo,68-387,Skowronkow,92,
508,Godziszewo,81-216,Lesna,772,
509,Bachorzewo,63-725,Torfowa,377,
510,Lubcza,61-406,Topolowa,573,47
511,Lubczyno,39-256,Biwakowa,147,
512,Baniewice,65-888,Strumykowa,895,79
513,Kurabka,36-955,Wichrowa,52,61
514,Lasaki,46-667,Bajkowa,200,
515,Bachorza,40-695,Swiatowida,15,
516,Leszczyniec,11-699,Poziomkowa,758,33
517,Balczewo,87-752,Diamentowa,67,19
518,Rogity,93-317,Fiolkow,951,
519,Lubianki,86-496,Tulipanow,235,
520,Baranowice,39-422,Strefowa,484,91
521,Baranowice,19-932,Panoramiczna,536,56
522,Krzepielów,19-721,Promowa,58,
523,Abramów,31-431,Blawatkow,437,23
524,Baliki,59-785,Ptasia,173,20
525,Bagienice,75-440,Modrzewiowa,364,55
526,Luberadz,33-860,Rozana,276,
527,Antonowo,53-617,Bajkowa,296,
528,Adaminowo,39-550,Sosnowa,48,75
529,Krzepczów,34-148,Rycerska,835,
530,Rogalki,55-197,Zlota,231,
531,Leszkowy,79-652,Olchowa,392,
532,Rogielkajmy,51-820,Zielone Wzgorze,163,
533,Leszczynka,85-459,Rzepakowa,95,6
534,Adamki,62-439,Poziomkowa,931,84
535,Antoniówka,19-494,Slupska,94,
536,Grabek,23-172,Dworcowa,460,
537,Lubawa,77-495,Slowikow,525,63
538,Gorzyce,69-327,Ulanska,959,20
539,Lubcza,52-330,Zwyciestwa,452,54
540,Barciszewo,54-255,Papiernicza,517,
541,Lubatka,19-524,Rumiank�w,195,
542,Kramkowo,70-626,Zytnia,669,60
543,Bagniuki,55-319,Jasminowa,840,
544,Antolka,41-899,Widokowa,921,
545,Balcerów,25-691,Wichrowa,744,36
546,Lubaszowa,57-850,Szkolna,193,80
547,Lubenia,32-887,Wierzbowa,475,20
548,Leszkiemie,81-391,Lesna,921,33
549,Balcarzowice,15-405,Zbozowa,654,67
550,Krakuszowice,37-883,Wrzosow,265,
551,Kramarzewo,62-221,Sadowa,461,
552,Bagieniec,17-731,Mirtowa,250,94
553,Lafajetowo,11-344,Mlodosci,956,19
554,Badulki,66-275,Jesionowa,928,21
555,Gorzkowiczki,71-161,Czeremchowa,273,
556,Bachorce,37-231,Spacerowa,880,85
557,Barankowo,76-821,Mahoniowa,484,
558,Rogawica,61-198,Limbowa,457,51
559,Krzepielów,91-877,Zeglarska,871,
560,Leszczyna,23-524,Gęsia,118,
561,Lubatówka,62-970,Daleka,268,85
562,Balice,51-696,Spacerowa,408,30
563,Leszczynka,71-956,Spacerowa,46,99
564,Bagieniec,39-997,Projektantow,706,
565,Langanki,35-642,Torfowa,498,
566,Adampol,39-955,Truskawkowa,917,34
567,Baranówko,76-287,Lakowa,376,54
568,Antoniewice,49-428,Ulanska,594,
569,Leszczyniak,85-107,Szafirkow,64,
570,Bagniuki,34-349,Torfowa,148,
571,Lalkowy,32-450,Koronkowa,364,
572,Lakiele,14-368,Liliowa,1,
573,Rogalinek,33-413,Golebia,789,78
574,Lubatówka,43-176,Promykowa,702,52
575,Laryszów,53-176,Czeresniowa,799,33
576,Lubianka,75-104,Orlikow,599,
577,Godziszewy,97-935,Sadowa,160,
578,Baranki,41-978,Krotka,783,
579,Bachury,60-867,Tychowska,445,75
580,Antonówka,13-149,Wodnika,277,79
581,Landzmierz,58-812,Swierkowa,913,
582,Laliki,85-864,Harcerska,681,33
583,Bagrowo,93-148,Slaska,910,36
584,Barcino,51-520,Strumykowa,303,
585,Antoniew,69-427,Spoldzielcza,101,
586,Lubasz,19-888,Zefirowa,333,76
587,Krapkowice,77-118,Hebanowa,273,73
588,Krakulice,29-550,Zwirowa,304,8
589,Banino,37-570,Jachtowa,951,
590,Rogawka,46-844,Blekitna,225,97
591,Antoniew,33-318,Lakowa,530,79
592,Laskowa,14-956,Krakowska,580,
593,Balków,38-938,Alabastrowa,981,10
594,Barcino,89-966,Spokojna,713,
595,Leszczyn,68-785,Bzow,821,32
596,Barcice,77-360,Opalowa,19,
597,Lakiele,62-200,Tychowska,95,37
598,Lubczyna,44-773,Polnocna,367,
599,Badulki,70-594,Mlynska,820,
600,Adamczycha,60-167,Jesionowa,651,
601,Adamki,96-848,Szafranowa,540,65
602,Bachmackie,93-481,Wrzosow,651,23
603,Baniocha,11-950,Smiala ,204,
604,Bagatelka,24-259,Szeroka,147,37
605,Barcice,51-653,Zwyciestwa,681,51
606,Rogazy,61-670,Swiatowida,141,
607,Barak,23-903,Swierkowa,253,
608,Banachy,11-480,Gerberowa,859,
609,Rogalinek,75-515,Rycerska,3,
610,Rogalin,61-787,Niezapominajek,903,11
611,Adamówka,23-787,Cedrowa,291,73
612,Bagatela,53-667,Blawatkow,69,
613,Kupimierz,69-917,Pszeniczna,530,
614,Grabianka,26-453,Deszczowa,128,
615,Rogi,12-301,Sloneczna,22,9
616,Godziszka,14-397,Wisniowa,743,
617,Leszkowice,55-487,Blekitna,931,
618,Abramowice,10-926,Jagodowa,969,96
619,Anonin,62-844,Zyzna,560,8
620,Barcikowo,68-586,Koronkowa,231,57
